id,lockPct,recencyHours,totalTrades,winRate,profitFactor,sharpeRatio,maxDrawdownPct,totalPnL,avgWinnerMFE,avgProfitGiveBack,winnerCaptureRatio,beClipCount,mfeToSLCount,givebackDollarsWinners
fixed-l40-r2h,0.4,2,175,67.43,2.47,3.87,7.58,90512,89.91,44.04,72.03,14,7,59357
fixed-l40-r4h,0.4,4,182,68.68,2.48,3.71,6.87,82239,78.93,39.73,70.19,13,7,58830
fixed-l50-r2h,0.5,2,182,67.03,2.14,3.31,10.04,74607,83.31,44.61,69.18,12,7,62650
fixed-l50-r4h,0.5,4,188,68.62,2.12,3.14,9.56,66384,73.01,40.62,67.07,11,7,62031
fixed-l60-r2h,0.6,2,185,67.57,2.03,3.02,9.14,65944,75.04,41.84,69.69,10,7,56857
fixed-l60-r4h,0.6,4,193,69.43,2.12,3.18,8.83,65124,67.62,37.88,68.35,10,7,57352
fixed-l70-r2h,0.7,2,187,68.98,2.02,3.12,8.53,64104,70.26,39.99,70.44,9,7,53575
fixed-l70-r4h,0.7,4,195,70.26,1.76,2.36,9.11,44197,57.55,36.79,65.3,9,7,54724
