date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2024-11-21,2024Q4,RN1,-1,5948.0,6.23,-1.27,5949.27,5956.5,5935.25,stop,-9.0,-1.059,8.5,1.75,8.5
2024-11-21,2024Q4,RN1,-1,5949.0,4.73,-0.27,5949.27,5955.0,5940.0,stop,-6.5,-1.083,6.0,4.25,6.0
2024-11-22,2024Q4,RN0,-1,5971.5,5.86,-1.14,5972.64,5979.5,5959.5,stop,-8.5,-1.062,8.0,8.75,8.5
2024-11-22,2024Q4,RN1,1,5981.0,7.18,-0.07,5980.93,5972.75,5993.38,stop,-8.75,-1.061,8.25,1.0,8.25
2024-11-22,2024Q4,RN3,-1,5982.5,6.82,-0.18,5982.68,5990.5,5970.5,stop,-8.5,-1.062,8.0,0.75,8.25
2024-11-22,2024Q4,RN2,-1,5983.5,5.67,-0.33,5983.83,5990.5,5973.0,stop,-7.5,-1.071,7.0,2.0,7.25
2024-11-25,2024Q4,RN1,-1,6034.0,5.66,-0.34,6034.34,6041.0,6023.5,target,10.5,1.5,7.0,11.0,1.25
2024-11-25,2024Q4,RN2,-1,6034.5,4.51,-0.99,6035.49,6041.0,6024.75,target,9.75,1.5,6.5,10.25,0.75
2024-12-02,2024Q4,RN0,1,6057.0,4.3,-2.95,6054.05,6048.75,6069.38,timeout,-5.25,-0.636,8.25,4.25,7.0
2024-12-02,2024Q4,RN2,-1,6059.5,5.45,-0.05,6059.55,6066.0,6049.75,timeout,-1.0,-0.154,6.5,0.5,4.5
2024-12-02,2024Q4,RN3,-1,6063.25,5.06,-0.19,6063.44,6069.5,6053.88,eod,1.0,0.16,6.25,3.25,0.5
2024-12-03,2024Q4,RN3,-1,6054.5,4.82,-0.18,6054.68,6060.5,6045.5,timeout,-0.0,-0.0,6.0,6.75,2.25
2024-12-05,2024Q4,RN1,-1,6100.0,4.38,-0.37,6100.37,6105.75,6091.38,target,8.62,1.5,5.75,9.0,0.75
2024-12-06,2024Q4,RN1,-1,6098.5,4.4,-0.85,6099.35,6104.75,6089.12,timeout,6.75,1.08,6.25,8.5,2.25
2024-12-06,2024Q4,RN0,1,6102.25,6.72,-0.03,6102.22,6094.5,6113.88,stop,-8.25,-1.065,7.75,0.75,8.0
2024-12-06,2024Q4,RN4,1,6102.75,6.8,-0.45,6102.3,6094.5,6115.12,stop,-8.75,-1.061,8.25,0.25,8.5
2024-12-06,2024Q4,RN2,-1,6103.75,5.18,-1.82,6105.57,6111.75,6091.75,timeout,5.25,0.656,8.0,8.25,3.75
2024-12-06,2024Q4,RN2,-1,6105.5,5.43,-0.07,6105.57,6112.0,6095.75,timeout,-0.0,-0.0,6.5,3.25,5.25
2024-12-09,2024Q4,RN4,1,6069.25,4.41,-0.84,6068.41,6063.0,6078.62,stop,-6.75,-1.08,6.25,0.75,6.25
2024-12-09,2024Q4,RN2,-1,6074.0,4.67,-0.83,6074.83,6080.5,6064.25,stop,-7.0,-1.077,6.5,5.0,6.5
2024-12-09,2024Q4,RN3,-1,6092.5,4.81,-0.44,6092.94,6098.75,6083.12,target,9.38,1.5,6.25,9.5,2.5
2024-12-10,2024Q4,RN1,1,6045.5,4.38,-1.37,6044.13,6038.75,6055.62,eod,0.5,0.074,6.75,2.0,2.0
2024-12-11,2024Q4,RN0,-1,6094.5,5.46,-0.04,6094.54,6101.0,6084.75,stop,-7.0,-1.077,6.5,0.5,7.25
2024-12-12,2024Q4,RN4,1,6072.75,4.45,-0.8,6071.95,6066.5,6082.12,target,9.38,1.5,6.25,9.5,0.0
2024-12-12,2024Q4,RN1,1,6080.0,4.68,-0.32,6079.68,6074.0,6089.0,stop,-6.5,-1.083,6.0,0.0,6.0
2024-12-13,2024Q4,RN3,1,6051.0,5.4,-2.1,6048.9,6042.5,6063.75,timeout,-2.75,-0.324,8.5,9.0,4.5
2024-12-13,2024Q4,RN1,1,6052.75,6.22,-0.03,6052.72,6045.5,6063.62,stop,-7.75,-1.069,7.25,0.25,7.5
2024-12-16,2024Q4,RN4,1,6143.0,6.14,-0.36,6142.64,6135.5,6154.25,target,11.25,1.5,7.5,11.25,0.75
2024-12-17,2024Q4,RN2,-1,6131.0,4.93,-1.57,6132.57,6138.5,6119.75,timeout,0.25,0.033,7.5,3.0,7.25
2024-12-17,2024Q4,RN2,-1,6132.0,5.68,-0.57,6132.57,6139.25,6121.12,timeout,-0.75,-0.103,7.25,3.5,4.25
2024-12-18,2024Q4,RN0,1,6092.0,4.91,-0.34,6091.66,6085.75,6101.38,stop,-6.75,-1.08,6.25,1.75,6.25
2024-12-18,2024Q4,RN0,1,6092.75,4.66,-1.09,6091.66,6086.0,6102.88,stop,-7.25,-1.074,6.75,1.0,7.0
2024-12-18,2024Q4,RN4,-1,6139.25,4.76,-0.74,6139.99,6145.75,6129.5,stop,-7.0,-1.077,6.5,1.25,6.5
2024-12-18,2024Q4,RN4,-1,6139.5,6.01,-0.49,6139.99,6147.0,6128.25,timeout,4.5,0.6,7.5,6.0,2.5
2024-12-19,2024Q4,RN4,1,5962.75,4.96,-2.54,5960.21,5954.25,5975.5,target,12.75,1.5,8.5,12.75,3.25
2024-12-19,2024Q4,RN2,1,5967.25,5.21,-0.04,5967.21,5961.0,5976.62,target,9.38,1.5,6.25,9.75,1.0
2024-12-19,2024Q4,RN3,-1,5979.0,5.59,-0.91,5979.91,5986.5,5967.75,stop,-8.0,-1.067,7.5,6.5,7.5
2024-12-23,2024Q4,RN4,-1,5990.5,5.6,-0.4,5990.9,5997.5,5980.0,stop,-7.5,-1.071,7.0,0.25,7.0
2024-12-23,2024Q4,RN1,-1,6025.0,4.54,-0.21,6025.21,6030.75,6016.38,stop,-6.25,-1.087,5.75,1.75,5.75
2024-12-24,2024Q4,RN1,-1,6075.5,5.14,-0.36,6075.86,6082.0,6065.75,stop,-7.0,-1.077,6.5,0.5,6.5
2024-12-26,2024Q4,RN4,1,6069.5,4.64,-1.61,6067.89,6062.25,6080.38,target,10.88,1.5,7.25,11.75,0.25
2024-12-26,2024Q4,RN1,1,6083.5,6.38,-0.87,6082.63,6075.25,6095.88,timeout,9.5,1.152,8.25,11.0,4.0
2024-12-27,2024Q4,RN1,1,5987.5,4.63,-0.12,5987.38,5981.75,5996.12,target,8.62,1.5,5.75,8.75,2.0
2024-12-27,2024Q4,RN3,1,5990.25,4.64,-0.11,5990.14,5984.5,5998.88,target,8.62,1.5,5.75,9.0,0.0
2024-12-30,2024Q4,RN0,1,5937.75,4.58,-0.42,5937.33,5931.75,5946.75,stop,-6.5,-1.083,6.0,0.75,6.25
2024-12-30,2024Q4,RN1,-1,5977.25,5.23,-0.27,5977.52,5983.75,5967.5,stop,-7.0,-1.077,6.5,0.0,6.5
2024-12-30,2024Q4,RN1,1,5979.5,4.27,-1.98,5977.52,5972.25,5990.38,stop,-7.75,-1.069,7.25,1.5,7.5
2024-12-30,2024Q4,RN2,-1,5988.75,4.4,-0.1,5988.85,5994.25,5980.5,target,8.25,1.5,5.5,9.25,1.25
2024-12-31,2024Q4,RN0,1,5925.25,4.27,-0.23,5925.02,5919.75,5933.5,stop,-6.0,-1.091,5.5,3.75,6.25
2024-12-31,2024Q4,RN0,1,5925.75,6.52,-0.73,5925.02,5917.5,5938.12,target,12.38,1.5,8.25,12.5,1.0
2024-12-31,2024Q4,RN2,-1,5939.75,6.7,-0.05,5939.8,5947.5,5928.12,stop,-8.25,-1.065,7.75,0.0,7.75
2025-01-02,2025Q1,RN1,-1,5911.5,5.48,-1.02,5912.52,5919.0,5900.25,stop,-8.0,-1.067,7.5,1.75,7.75
2025-01-02,2025Q1,RN1,1,5912.75,6.52,-0.23,5912.52,5905.0,5924.38,stop,-8.25,-1.065,7.75,2.0,8.0
2025-01-02,2025Q1,RN2,-1,5972.5,4.89,-1.11,5973.61,5979.5,5962.0,stop,-7.5,-1.071,7.0,1.5,7.5
2025-01-02,2025Q1,RN2,-1,5973.25,5.64,-0.36,5973.61,5980.25,5962.75,stop,-7.5,-1.071,7.0,2.0,7.0
2025-01-03,2025Q1,RN2,-1,5953.75,5.07,-2.43,5956.18,5962.25,5941.0,stop,-9.0,-1.059,8.5,2.0,8.75
2025-01-03,2025Q1,RN3,-1,5972.25,6.08,-0.67,5972.92,5980.0,5960.62,stop,-8.25,-1.065,7.75,3.0,7.75
2025-01-03,2025Q1,RN3,-1,5972.75,5.58,-0.17,5972.92,5979.5,5962.62,stop,-7.25,-1.074,6.75,0.0,6.75
2025-01-06,2025Q1,RN0,-1,6045.0,6.14,-1.11,6046.11,6053.25,6032.62,stop,-8.75,-1.061,8.25,0.25,8.5
2025-01-06,2025Q1,RN0,-1,6045.5,6.89,-0.61,6046.11,6054.0,6032.75,stop,-9.0,-1.059,8.5,0.25,8.5
2025-01-06,2025Q1,RN1,-1,6061.75,5.8,-0.7,6062.45,6069.25,6050.5,target,11.25,1.5,7.5,11.25,3.25
2025-01-08,2025Q1,RN1,1,5937.75,6.41,-0.09,5937.66,5930.25,5949.0,target,11.25,1.5,7.5,11.75,2.5
2025-01-08,2025Q1,RN3,1,5937.75,4.37,-2.13,5935.62,5930.25,5949.0,target,11.25,1.5,7.5,11.75,2.5
2025-01-08,2025Q1,RN4,-1,5947.5,4.41,-1.09,5948.59,5954.0,5937.75,stop,-7.0,-1.077,6.5,2.5,7.25
2025-01-10,2025Q1,RN0,1,5863.25,5.32,-0.93,5862.32,5856.0,5874.12,stop,-7.75,-1.069,7.25,3.0,7.25
2025-01-10,2025Q1,RN0,1,5864.25,4.32,-1.93,5862.32,5857.0,5875.12,eod,0.75,0.103,7.25,8.5,3.0
2025-01-10,2025Q1,RN0,1,5864.75,4.82,-2.43,5862.32,5856.5,5877.12,stop,-8.75,-1.061,8.25,2.25,8.5
2025-01-13,2025Q1,RN3,-1,5827.0,4.76,-0.24,5827.24,5833.0,5818.0,stop,-6.5,-1.083,6.0,1.5,6.5
2025-01-13,2025Q1,RN2,-1,5833.25,5.56,-1.19,5834.44,5841.0,5821.62,stop,-8.25,-1.065,7.75,7.0,7.75
2025-01-13,2025Q1,RN1,-1,5865.0,5.12,-0.88,5865.88,5872.0,5854.5,eod,3.25,0.464,7.0,8.25,5.5
2025-01-14,2025Q1,RN3,1,5883.75,5.82,-0.18,5883.57,5876.75,5894.25,stop,-7.5,-1.071,7.0,5.25,7.0
