date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-03,2025Q1,RND0,-1,5949.25,6.0,-0.75,5950.0,5957.0,5937.62,stop,-8.25,-1.065,7.75,1.0,7.75
2025-01-03,2025Q1,RND1,-1,5972.25,4.75,-2.75,5975.0,5980.75,5959.5,timeout,-8.5,-1.0,8.5,3.0,7.75
2025-01-03,2025Q1,RND1,-1,5973.75,6.25,-1.25,5975.0,5982.25,5961.0,timeout,-4.0,-0.471,8.5,4.5,6.0
2025-01-03,2025Q1,RND1,-1,5974.75,5.75,-0.25,5975.0,5981.75,5964.25,timeout,-1.0,-0.143,7.0,5.5,6.5
2025-01-06,2025Q1,RND0,1,6025.25,7.0,-0.25,6025.0,6017.0,6037.62,stop,-8.75,-1.061,8.25,2.5,9.0
2025-01-07,2025Q1,RND1,1,5976.0,5.5,-1.0,5975.0,5968.5,5987.25,target,11.25,1.5,7.5,11.25,1.0
2025-01-07,2025Q1,RND2,1,6001.0,6.0,-1.0,6000.0,5993.0,6013.0,stop,-8.5,-1.062,8.0,2.25,8.0
2025-01-08,2025Q1,RND0,1,5925.5,4.75,-0.5,5925.0,5919.25,5934.88,target,9.38,1.5,6.25,9.75,0.75
2025-01-08,2025Q1,RND1,-1,5948.75,5.5,-1.25,5950.0,5956.5,5937.12,stop,-8.25,-1.065,7.75,4.25,7.75
2025-01-08,2025Q1,RND1,-1,5949.5,6.0,-0.5,5950.0,5957.0,5938.25,stop,-8.0,-1.067,7.5,5.0,7.75
2025-01-10,2025Q1,RND0,1,5850.25,4.75,-0.25,5850.0,5844.25,5859.25,target,9.0,1.5,6.0,9.0,1.75
2025-01-13,2025Q1,RND0,-1,5824.75,4.5,-0.25,5825.0,5830.5,5816.12,stop,-6.25,-1.087,5.75,1.25,6.25
2025-01-14,2025Q1,RND2,-1,5899.0,5.25,-1.0,5900.0,5906.25,5888.12,target,10.88,1.5,7.25,11.0,7.0
2025-01-15,2025Q1,RND0,-1,5973.25,5.75,-1.75,5975.0,5981.75,5960.5,stop,-9.0,-1.059,8.5,3.25,8.5
2025-01-15,2025Q1,RND0,-1,5974.75,4.75,-0.25,5975.0,5980.75,5965.75,target,9.0,1.5,6.0,9.0,0.5
2025-01-16,2025Q1,RND0,1,5975.5,4.75,-0.5,5975.0,5969.25,5984.88,target,9.38,1.5,6.25,9.5,1.25
2025-01-16,2025Q1,RND1,-1,5998.5,4.25,-1.5,6000.0,6005.25,5988.38,target,10.12,1.5,6.75,10.25,0.5
2025-01-17,2025Q1,RND0,-1,6022.75,5.25,-2.25,6025.0,6031.25,6010.0,stop,-9.0,-1.059,8.5,5.5,8.5
2025-01-20,2025Q1,RND0,1,6050.5,7.0,-0.5,6050.0,6042.0,6063.25,timeout,9.25,1.088,8.5,11.0,0.5
2025-01-23,2025Q1,RND0,-1,6124.75,4.5,-0.25,6125.0,6130.5,6116.12,stop,-6.25,-1.087,5.75,5.0,5.75
2025-01-24,2025Q1,RND1,1,6150.5,5.5,-0.5,6150.0,6143.5,6161.0,timeout,-1.25,-0.179,7.0,7.0,3.75
2025-01-27,2025Q1,RND1,-1,6023.5,5.0,-1.5,6025.0,6031.0,6012.25,stop,-8.0,-1.067,7.5,3.25,8.5
2025-01-28,2025Q1,RND3,-1,6099.5,4.25,-0.5,6100.0,6105.25,6090.88,stop,-6.25,-1.087,5.75,1.0,6.0
2025-01-29,2025Q1,RND1,-1,6073.5,5.5,-1.5,6075.0,6081.5,6061.5,target,12.0,1.5,8.0,12.75,3.5
2025-01-29,2025Q1,RND1,1,6075.75,5.75,-0.75,6075.0,6068.25,6087.0,timeout,0.75,0.1,7.5,8.75,5.5
2025-01-30,2025Q1,RND0,1,6076.25,5.0,-1.25,6075.0,6069.0,6087.12,target,10.88,1.5,7.25,11.25,0.25
2025-01-31,2025Q1,RND1,1,6100.5,4.25,-0.5,6100.0,6094.75,6109.12,target,8.62,1.5,5.75,9.25,0.0
2025-02-03,2025Q1,RND0,1,5975.5,5.25,-0.5,5975.0,5968.75,5985.62,stop,-7.25,-1.074,6.75,1.0,7.0
2025-02-03,2025Q1,RND2,-1,6024.25,6.0,-0.75,6025.0,6032.0,6012.62,stop,-8.25,-1.065,7.75,0.5,7.75
2025-02-03,2025Q1,RND2,-1,6024.75,4.75,-0.25,6025.0,6030.75,6015.75,stop,-6.5,-1.083,6.0,4.25,6.0
2025-02-04,2025Q1,RND1,-1,6047.75,5.0,-2.25,6050.0,6056.0,6035.38,stop,-8.75,-1.061,8.25,0.75,8.25
2025-02-04,2025Q1,RND1,-1,6048.75,4.75,-1.25,6050.0,6055.75,6038.25,stop,-7.5,-1.071,7.0,0.25,7.25
2025-02-05,2025Q1,RND0,1,6052.0,4.75,-2.0,6050.0,6044.25,6063.62,target,11.62,1.5,7.75,11.75,0.5
2025-02-06,2025Q1,RND0,1,6075.25,5.0,-0.25,6075.0,6069.0,6084.62,target,9.38,1.5,6.25,9.5,1.0
2025-02-06,2025Q1,RND1,-1,6099.0,5.0,-1.0,6100.0,6106.0,6088.5,target,10.5,1.5,7.0,11.5,4.25
2025-02-07,2025Q1,RND0,1,6050.75,5.25,-0.75,6050.0,6043.75,6061.25,stop,-7.5,-1.071,7.0,0.75,7.0
2025-02-10,2025Q1,RND0,1,6075.25,7.25,-0.25,6075.0,6066.75,6088.0,target,12.75,1.5,8.5,12.75,1.25
2025-02-11,2025Q1,RND0,1,6077.0,4.5,-2.0,6075.0,6069.5,6088.25,timeout,3.0,0.4,7.5,7.0,2.25
2025-02-12,2025Q1,RND2,-1,6073.75,4.75,-1.25,6075.0,6080.75,6063.25,stop,-7.5,-1.071,7.0,4.0,7.0
2025-02-12,2025Q1,RND2,-1,6074.75,6.5,-0.25,6075.0,6082.5,6063.12,eod,8.5,1.097,7.75,8.75,0.25
2025-02-13,2025Q1,RND0,1,6075.75,4.75,-0.75,6075.0,6069.25,6085.5,target,9.75,1.5,6.5,9.75,2.5
2025-02-13,2025Q1,RND1,-1,6098.5,4.5,-1.5,6100.0,6105.5,6088.0,stop,-7.5,-1.071,7.0,7.0,7.25
2025-02-13,2025Q1,RND1,1,6100.5,4.75,-0.5,6100.0,6094.25,6109.88,timeout,-1.5,-0.24,6.25,7.75,4.25
2025-02-18,2025Q1,RND0,1,6125.25,6.75,-0.25,6125.0,6117.25,6137.25,timeout,7.25,0.906,8.0,9.75,7.0
2025-02-21,2025Q1,RND1,1,6050.5,4.5,-0.5,6050.0,6044.5,6059.5,target,9.0,1.5,6.0,9.25,0.75
2025-02-21,2025Q1,RND3,1,6100.75,6.75,-0.75,6100.0,6092.25,6113.5,stop,-9.0,-1.059,8.5,1.0,9.25
2025-02-24,2025Q1,RND1,1,6025.5,5.0,-0.5,6025.0,6019.0,6035.25,stop,-7.0,-1.077,6.5,1.5,6.75
2025-02-25,2025Q1,RND2,-1,5974.5,5.5,-0.5,5975.0,5981.5,5964.0,stop,-7.5,-1.071,7.0,10.25,7.0
2025-02-26,2025Q1,RND0,1,5950.75,4.5,-0.75,5950.0,5944.5,5960.12,target,9.38,1.5,6.25,9.75,4.0
2025-02-26,2025Q1,RND2,-1,5999.0,5.75,-1.0,6000.0,6006.75,5987.38,stop,-8.25,-1.065,7.75,2.0,7.75
2025-02-26,2025Q1,RND2,1,6000.75,4.75,-0.75,6000.0,5994.25,6010.5,stop,-7.0,-1.077,6.5,2.25,7.0
2025-02-27,2025Q1,RND2,1,5951.5,5.0,-1.5,5950.0,5944.0,5962.75,stop,-8.0,-1.067,7.5,2.5,7.5
2025-02-28,2025Q1,RND1,1,5875.75,6.0,-0.75,5875.0,5868.0,5887.38,target,11.62,1.5,7.75,11.75,0.0
2025-02-28,2025Q1,RND2,-1,5898.5,4.5,-1.5,5900.0,5905.5,5888.0,stop,-7.5,-1.071,7.0,4.0,7.25
2025-02-28,2025Q1,RND2,-1,5899.0,6.0,-1.0,5900.0,5907.0,5887.0,stop,-8.5,-1.062,8.0,1.25,8.25
2025-02-28,2025Q1,RND2,-1,5899.75,6.0,-0.25,5900.0,5907.0,5888.88,stop,-7.75,-1.069,7.25,1.0,7.25
2025-03-03,2025Q1,RND1,1,5850.75,4.75,-0.75,5850.0,5844.25,5860.5,stop,-7.0,-1.077,6.5,3.0,7.5
2025-03-03,2025Q1,RND5,1,5951.0,4.5,-1.0,5950.0,5944.5,5960.75,stop,-7.0,-1.077,6.5,0.5,7.0
2025-03-03,2025Q1,RND5,1,5951.5,4.25,-1.5,5950.0,5944.75,5961.62,target,10.12,1.5,6.75,10.25,0.0
2025-03-04,2025Q1,RND0,1,5751.5,6.0,-1.5,5750.0,5743.0,5764.25,target,12.75,1.5,8.5,12.75,1.0
2025-03-04,2025Q1,RND1,1,5776.25,5.25,-1.25,5775.0,5768.75,5787.5,stop,-8.0,-1.067,7.5,1.25,8.25
2025-03-04,2025Q1,RND1,1,5776.75,5.75,-1.75,5775.0,5768.25,5789.5,stop,-9.0,-1.059,8.5,5.75,9.0
2025-03-04,2025Q1,RND3,-1,5824.5,5.25,-0.5,5825.0,5831.25,5814.38,stop,-7.25,-1.074,6.75,1.0,7.25
2025-03-05,2025Q1,RND2,-1,5824.25,4.75,-0.75,5825.0,5830.75,5814.5,stop,-7.0,-1.077,6.5,0.75,6.5
2025-03-05,2025Q1,RND3,-1,5848.75,5.25,-1.25,5850.0,5856.25,5837.5,stop,-8.0,-1.067,7.5,1.75,8.0
2025-03-05,2025Q1,RND3,-1,5849.75,6.5,-0.25,5850.0,5857.5,5838.12,stop,-8.25,-1.065,7.75,6.5,7.75
2025-03-06,2025Q1,RND0,1,5725.25,5.0,-0.25,5725.0,5719.0,5734.62,target,9.38,1.5,6.25,9.75,5.0
2025-03-06,2025Q1,RND0,1,5727.75,4.75,-2.75,5725.0,5719.25,5740.5,target,12.75,1.5,8.5,12.75,4.75
2025-03-06,2025Q1,RND1,-1,5749.0,5.0,-1.0,5750.0,5756.0,5738.5,target,10.5,1.5,7.0,10.5,1.25
2025-03-06,2025Q1,RND1,1,5752.5,4.75,-2.5,5750.0,5744.25,5764.88,stop,-8.75,-1.061,8.25,11.5,10.0
2025-03-06,2025Q1,RND3,-1,5799.75,6.5,-0.25,5800.0,5807.5,5788.12,stop,-8.25,-1.065,7.75,11.0,8.0
2025-03-10,2025Q1,RND2,-1,5624.25,6.75,-0.75,5625.0,5632.75,5611.5,target,12.75,1.5,8.5,12.75,0.25
2025-03-10,2025Q1,RND2,1,5626.0,6.5,-1.0,5625.0,5617.5,5638.75,stop,-9.0,-1.059,8.5,4.5,8.75
2025-03-10,2025Q1,RND3,1,5652.5,4.5,-2.5,5650.0,5644.5,5664.5,stop,-8.5,-1.062,8.0,0.0,8.5
2025-03-11,2025Q1,RND0,1,5552.25,4.5,-2.25,5550.0,5544.5,5563.88,stop,-8.25,-1.065,7.75,5.25,8.5
2025-03-11,2025Q1,RND1,1,5575.5,4.5,-0.5,5575.0,5569.5,5584.5,stop,-6.5,-1.083,6.0,8.25,6.0
2025-03-11,2025Q1,RND2,-1,5598.5,4.5,-1.5,5600.0,5605.5,5588.0,target,10.5,1.5,7.0,10.75,2.25
2025-03-12,2025Q1,RND1,-1,5599.5,5.0,-0.5,5600.0,5606.0,5589.75,stop,-7.0,-1.077,6.5,9.5,6.5
2025-03-12,2025Q1,RND1,1,5601.75,4.25,-1.75,5600.0,5594.75,5612.25,stop,-7.5,-1.071,7.0,9.5,7.25
2025-03-12,2025Q1,RND2,1,5625.5,5.75,-0.5,5625.0,5618.25,5636.38,stop,-7.75,-1.069,7.25,1.25,7.25
2025-03-13,2025Q1,RND1,-1,5549.75,4.5,-0.25,5550.0,5555.5,5541.12,stop,-6.25,-1.087,5.75,2.5,5.75
2025-03-13,2025Q1,RND2,1,5576.0,4.5,-1.0,5575.0,5569.5,5585.75,stop,-7.0,-1.077,6.5,5.5,6.5
2025-03-14,2025Q1,RND1,-1,5598.25,4.5,-1.75,5600.0,5605.5,5587.38,stop,-7.75,-1.069,7.25,1.0,7.25
2025-03-14,2025Q1,RND2,-1,5623.25,5.5,-1.75,5625.0,5631.5,5610.88,timeout,-3.0,-0.364,8.25,10.25,5.0
2025-03-17,2025Q1,RND0,1,5701.0,4.25,-1.0,5700.0,5694.75,5710.38,target,9.38,1.5,6.25,9.5,0.0
2025-03-17,2025Q1,RND2,-1,5749.25,5.5,-0.75,5750.0,5756.5,5738.38,eod,-1.5,-0.207,7.25,2.25,3.5
2025-03-17,2025Q1,RND2,-1,5749.5,4.25,-0.5,5750.0,5755.25,5740.88,stop,-6.25,-1.087,5.75,1.25,5.75
2025-03-19,2025Q1,RND0,-1,5699.75,4.5,-0.25,5700.0,5705.5,5691.12,stop,-6.25,-1.087,5.75,0.75,5.75
2025-03-20,2025Q1,RND0,1,5702.5,5.0,-2.5,5700.0,5694.0,5715.25,target,12.75,1.5,8.5,12.75,4.75
2025-03-20,2025Q1,RND1,1,5726.0,6.5,-1.0,5725.0,5717.5,5738.75,stop,-9.0,-1.059,8.5,3.25,8.5
2025-03-20,2025Q1,RND2,-1,5748.25,5.0,-1.75,5750.0,5756.0,5736.62,target,11.62,1.5,7.75,11.75,5.0
2025-03-21,2025Q1,RND0,-1,5674.75,5.25,-0.25,5675.0,5681.25,5665.0,target,9.75,1.5,6.5,10.0,3.75
2025-03-21,2025Q1,RND1,-1,5699.25,6.25,-0.75,5700.0,5707.25,5687.25,eod,3.0,0.375,8.0,11.0,4.0
2025-03-24,2025Q1,RND0,-1,5799.75,4.5,-0.25,5800.0,5805.5,5791.12,stop,-6.25,-1.087,5.75,5.25,5.75
2025-03-24,2025Q1,RND0,1,5800.25,4.75,-0.25,5800.0,5794.25,5809.25,target,9.0,1.5,6.0,9.0,5.25
2025-03-27,2025Q1,RND0,1,5726.0,5.0,-1.0,5725.0,5719.0,5736.5,target,10.5,1.5,7.0,11.5,2.5
2025-03-27,2025Q1,RND1,-1,5747.0,4.25,-3.0,5750.0,5755.25,5734.62,stop,-8.75,-1.061,8.25,0.75,8.25
2025-03-27,2025Q1,RND1,1,5751.25,5.75,-1.25,5750.0,5743.25,5763.25,target,12.0,1.5,8.0,12.25,4.0
2025-03-27,2025Q1,RND2,-1,5773.25,4.75,-1.75,5775.0,5780.75,5762.0,target,11.25,1.5,7.5,11.25,6.5
2025-03-27,2025Q1,RND2,-1,5773.75,4.75,-1.25,5775.0,5780.75,5763.25,target,10.5,1.5,7.0,10.75,2.75
2025-03-28,2025Q1,RND0,-1,5624.5,6.0,-0.5,5625.0,5632.0,5613.25,eod,3.75,0.5,7.5,7.25,1.0
2025-03-28,2025Q1,RND1,1,5650.5,5.5,-0.5,5650.0,5643.5,5661.0,target,10.5,1.5,7.0,10.5,4.0
2025-03-28,2025Q1,RND1,1,5650.75,4.25,-0.75,5650.0,5644.75,5659.75,stop,-6.5,-1.083,6.0,4.25,7.0
2025-03-28,2025Q1,RND2,1,5675.75,4.75,-0.75,5675.0,5669.25,5685.5,stop,-7.0,-1.077,6.5,1.5,6.75
2025-03-28,2025Q1,RND4,-1,5724.0,6.25,-1.0,5725.0,5732.25,5711.62,target,12.38,1.5,8.25,12.75,6.75
2025-03-31,2025Q1,RND2,-1,5599.5,6.75,-0.5,5600.0,5607.75,5587.12,stop,-8.75,-1.061,8.25,4.25,8.25
2025-03-31,2025Q1,RND4,-1,5648.25,4.75,-1.75,5650.0,5655.75,5637.0,stop,-8.0,-1.067,7.5,2.5,7.5
2025-04-01,2025Q2,RND1,-1,5648.5,4.25,-1.5,5650.0,5655.25,5638.38,stop,-7.25,-1.074,6.75,2.75,7.5
2025-04-02,2025Q2,RND2,-1,5674.0,5.0,-1.0,5675.0,5681.0,5663.5,stop,-7.5,-1.071,7.0,6.5,7.5
2025-04-03,2025Q2,RND2,-1,5499.75,4.75,-0.25,5500.0,5505.75,5490.75,stop,-6.5,-1.083,6.0,6.0,6.75
2025-04-04,2025Q2,RND2,1,5175.25,4.25,-0.25,5175.0,5169.75,5183.5,target,8.25,1.5,5.5,8.25,3.5
2025-04-04,2025Q2,RND2,1,5175.5,4.25,-0.5,5175.0,5169.75,5184.12,stop,-6.25,-1.087,5.75,2.0,7.5
2025-04-08,2025Q2,RND8,1,5175.5,4.75,-0.5,5175.0,5169.25,5184.88,target,9.38,1.5,6.25,9.5,0.5
2025-04-08,2025Q2,RND9,1,5200.5,5.0,-0.5,5200.0,5194.0,5210.25,target,9.75,1.5,6.5,10.25,1.0
2025-04-09,2025Q2,RND2,-1,5048.5,5.5,-1.5,5050.0,5056.5,5036.5,stop,-8.5,-1.062,8.0,2.25,9.25
2025-04-09,2025Q2,RND2,-1,5049.25,4.75,-0.75,5050.0,5055.75,5039.5,stop,-7.0,-1.077,6.5,8.75,6.75
