window,pairs,spearman,skill_rho,adapt_skill_pp,skill_pick_ev,carry,adaptive,static,allmean,pairs_null,spearman_null,skill_rho_null,adapt_skill_pp_null,skill_pick_ev_null,carry_null,adaptive_null,static_null,allmean_null
5,229,0.037848554265517496,0.046912720478320576,0.24468278401893975,-2.6096783723484824,0.14978165938864627,-2.5192292485638403,-2.293520784443037,-3.0,229.0,-0.0020344027241965754,0.00945478378551773,-0.04969529355816069,-3.153313439007371,0.11220281416787967,-3.1799644289147597,-3.138159522770543,-3.0
10,114,-0.03148377698736402,0.00569948306486666,0.1631917564922012,-3.4174732693189256,0.18213716108452951,-3.6296828869545523,-2.5667471833108912,-3.0,114.0,-0.02200722855748822,-0.011761994445385905,-0.06455941540446927,-3.286355357003142,0.13361244019138757,-2.954642616974664,-2.2435395043365034,-3.0
21,54,0.0023888706378540348,0.00784610647095711,0.36309987095973434,-2.75053046354083,0.19241343734097358,-1.910218950496397,-2.2003250393285216,-3.0,54.0,-0.006820940000892038,-0.009793683279713458,-0.3949045164296646,-3.6040514386983613,0.16079148977699703,-3.5614520763589352,-2.415815964634162,-3.0
63,18,0.1287822976242072,0.06749888792626069,0.1531007951408612,-2.177101904732732,0.25811965811965815,-2.3333891929790713,1.8891164473343933,-3.0,18.0,0.038384474191114154,0.020289473293921403,0.23750113759186842,-2.285570083133921,0.19209401709401713,-3.0118804112459268,-0.7290682533155117,-3.0
