cell,n,Xmed,skill,null,excess,z,need,ev
ALL,5633,97.0,9.301576120762046,3.0322750184415335,6.269301102320513,11.189645378285867,3.0303030303030276,8.402449849103498
1000-1200,521,199.0,9.792451385606366,2.4570832148132973,7.335368170793069,4.033358713902835,1.4925373134328401,22.500959692898274
<=2pt of 50,489,96.0,8.913749303274123,1.1164863035982207,7.797262999675903,4.172431779333801,3.0612244897959218,5.826175869120655
<=5pt of 50,1176,95.0,10.914185271225351,2.5684144810021716,8.34577079022318,6.888284143386808,3.0927835051546393,9.539965986394558
wide bracket (X>=q75),1410,228.0,7.729531375773228,2.451005372144979,5.278526003628249,4.968041466034618,1.30434782608696,19.275886524822695
