QQQ   261231P00615000	1664
QQQ   260618C00559780	660
QQQ   260513C00605000	9
QQQ   280616C00608000	37
QQQ   260717P00495000	1094
QQQ   260506C00666000	315
QQQ   260507P00672000	425
QQQ   261231C00545000	47
QQQ   281215P00585000	51
QQQ   270115P00675000	675
QQQ   260930P00790000	
QQQ   270331P00581000	12
QQQ   260618C00815000	1194
QQQ   260618P00379780	610
QQQ   260511P00633000	28
QQQ   261218P00529780	422
QQQ   260717P00550000	2888
QQQ   260522C00642000	219
QQQ   271217P00890000	
QQQ   261218C00459780	216
QQQ   260529P00662000	169
QQQ   260605P00682000	4
QQQ   260618P00635000	13489
QQQ   260717C00562000	
QQQ   260505C00617000	7
QQQ   260612C00633000	40
QQQ   260529C00592000	97
QQQ   260506P00623000	667
QQQ   270917C00315000	2
QQQ   261218P00279780	395
QQQ   260511C00700000	267
QQQ   260513C00636000	
QQQ   280616C00639000	1
QQQ   260515C00840000	4956
QQQ   260506C00697000	55
QQQ   260514P00642000	54
QQQ   260518P00720000	
QQQ   260514C00654000	2
QQQ   260630C00627000	298
QQQ   260511P00664000	272
QQQ   260511P00520000	14317
QQQ   261016C00400000	24
QQQ   260518C00650000	15
QQQ   260515P00660000	15325
QQQ   280616P00315000	22
QQQ   260821C00325000	4
QQQ   260522C00673000	346
QQQ   260511C00594000	
QQQ   260515C00590000	7933
QQQ   260529P00693000	2
QQQ   270917P00890000	
QQQ   260618P00666000	692
QQQ   260717C00593000	13
QQQ   261016C00825000	2
QQQ   260505C00648000	16
QQQ   271217C00315000	21
QQQ   260612C00664000	8
QQQ   260612C00520000	1
QQQ   260506P00654000	3126
QQQ   260618C00678000	122
QQQ   260508P00528000	167
QQQ   260717P00800000	
QQQ   260522C00810000	15
QQQ   260918C00715000	2160
QQQ   260513C00667000	50
QQQ   260506C00584000	1
QQQ   261016P00645000	149
QQQ   260605P00850000	
QQQ   260717C00730000	3292
QQQ   260507P00590000	105
QQQ   270617C00220000	1
QQQ   281215C00820000	51
QQQ   260514C00685000	361
QQQ   260630C00514000	
QQQ   260630C00658000	92
QQQ   260529C00760000	61
QQQ   260522P00630000	2532
QQQ   270115C00910000	111
QQQ   260918P00535000	11136
QQQ   260511P00695000	
QQQ   260605C00780000	198
QQQ   261016C00575000	23
QQQ   260515P00691000	
QQQ   270617P00715000	124
QQQ   280121P00300000	1491
QQQ   260522C00560000	65
QQQ   260918C00465000	68
QQQ   260505P00605000	1062
QQQ   261231C00600000	346
QQQ   260612P00621000	16
QQQ   280121C00905000	287
QQQ   281215P00640000	469
QQQ   260529P00580000	2936
QQQ   260630P00478000	1
QQQ   261016P00395000	21
QQQ   260618P00697000	20
QQQ   270115P00730000	17
QQQ   270617C00645000	804
QQQ   260717C00480000	11
QQQ   260512C00618000	1
QQQ   260618P00434780	577
QQQ   270331P00780000	
QQQ   260513P00624000	8
QQQ   260505C00679000	4080
QQQ   280616P00627000	1
QQQ   260612C00695000	184
QQQ   281215C00570000	187
QQQ   260522P00380000	740
QQQ   260506P00685000	41
QQQ   270115C00660000	6878
QQQ   260508P00415000	631
QQQ   260508P00559000	121
QQQ   260918P00285000	504
QQQ   261218C00715000	3233
QQQ   261231P00420000	324
QQQ   280121P00725000	11
QQQ   261218C00514780	96
QQQ   260618C00364780	20
QQQ   260513C00698000	95
