label,trades,pnl,pf,sharpe,max_dd,win_rate,avg_trade,calmar
morning_full+cross_down,5076,182169,1.24,6.54,9.76,53.33,35.89,12.91
morning_full+strong_pos_only,422,23498,1.42,1.80,5.03,54.74,55.68,3.58
11_to_15+cross_down,3309,159227,1.29,5.90,9.83,53.91,48.12,11.29
11_to_15+strong_pos_only,273,22668,1.58,1.90,4.35,55.31,83.03,3.91
default+strong_pos_only,214,12042,1.55,1.69,1.91,53.27,56.27,4.71
11_to_15+strong_pos+cross_down,658,56772,1.49,3.03,9.39,56.84,86.28,4.47
morning_full+pos_strong+xdown,5076,182169,1.24,6.54,9.76,53.33,35.89,12.91
h15_only+strong_pos,38,9343,4.17,1.29,0.92,65.79,245.87,7.61
h15_only+cross_down,963,70619,1.39,3.48,9.17,56.18,73.33,5.67
