id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000181,2025-03-26T15:31:00.000Z,2025-03-26T16:03:19.000Z,short,R4,20297.3200,20287.5000,32.0000,take_profit,120.0000,117.5000,9.2500,1.0000,,,-798815752.1972,-0.3231,neutral,20338.8300,51.3300,585985640.3190,19923.7500,363.7500,485530200.5104,[object Object],0.0881,2.0000,,,-0.4361,0.0697,208.4100,204.1600,-0.6865,-0.1962,1.0000,negative,-0.0006,0.0310
T000182,2025-03-26T18:12:00.000Z,2025-03-26T19:11:00.000Z,long,S1,20127.1800,20113.2500,60.0000,max_hold_time,-58.5000,33.2500,68.2500,0.0000,18440.6900,1672.5600,-1683100726.6796,-0.6270,negative,20127.1800,-13.9300,518474962.1361,20546.5000,433.2500,203662214.5892,[object Object],-0.0506,4.0000,,,0.2098,-0.4885,-198.5400,-202.6800,-0.2619,-0.0823,0.0000,negative,0.0038,-0.0183
T000183,2025-03-27T13:56:00.000Z,2025-03-27T14:38:00.000Z,short,R4,20094.7700,20078.0000,42.0000,stop_loss,-80.5000,50.2500,71.7500,0.0000,18258.8400,1819.1600,-1836470242.7314,-0.5854,negative,20136.2900,58.2900,174673420.5472,19928.7000,149.3000,536184882.9942,[object Object],0.0601,3.0000,177.7800,177.7800,0.8450,0.0143,405.6700,194.0300,0.6398,0.2274,1.0000,neutral,0.0070,-0.0201
T000184,2025-03-27T15:02:00.000Z,2025-03-27T15:41:19.000Z,short,R3,20175.8700,20182.0000,39.0000,take_profit,119.7500,119.5000,2.7500,1.0000,18257.0900,1924.9100,-535156506.1810,-0.3323,neutral,20341.9300,159.9300,343286757.2002,19926.7900,255.2100,539796689.0184,[object Object],0.0734,2.0000,182.1300,182.1300,-0.4977,-0.0049,-6.7100,198.7800,-2.4440,-0.2564,1.0000,negative,-0.0089,-0.0009
T000185,2025-03-27T15:52:00.000Z,2025-03-27T16:51:00.000Z,short,R4,20093.6700,20080.0000,60.0000,max_hold_time,41.7500,54.5000,75.7500,1.0000,,,-2020220708.2052,-0.6688,negative,20135.1800,55.1800,90921267.2092,19927.6000,152.4000,517157199.1587,[object Object],0.0490,4.0000,,,-0.4519,0.1160,82.5500,-0.4700,-0.1474,-0.0748,0.0000,negative,0.0032,-0.0078
T000186,2025-03-27T18:15:00.000Z,2025-03-27T19:14:00.000Z,short,R5,20091.6200,20080.2500,60.0000,max_hold_time,-16.5000,43.2500,29.0000,0.0000,,,-1966931688.4256,-0.6449,negative,20134.6400,54.3900,126334869.0043,19927.0600,153.1900,543621361.9649,[object Object],0.0519,4.0000,,,0.7838,-0.0262,0.0500,0.0600,0.1672,0.1207,0.0000,negative,-0.0040,0.0873
T000187,2025-03-27T19:23:00.000Z,2025-03-27T19:52:10.000Z,short,R1,20134.4900,20127.7500,29.0000,take_profit,120.0000,117.7500,0.0000,1.0000,18257.2100,1870.5400,-1505452071.9009,-0.4711,negative,20134.4900,6.7400,250311453.5849,19926.9200,200.8300,561214931.3341,[object Object],0.0623,2.0000,,,-0.8032,0.0855,84.2000,1.1500,-0.6276,-0.3132,0.0000,negative,0.0166,-0.0088
T000188,2025-03-28T13:37:00.000Z,2025-03-28T14:08:22.000Z,short,R1,19920.0200,19896.5000,31.0000,take_profit,120.5000,118.5000,45.0000,1.0000,,,-1597771983.3624,-0.4279,negative,19920.0200,23.5200,331821958.8981,19505.0100,391.4900,442039283.2425,[object Object],0.0162,2.0000,,,-0.8444,-0.0492,492.9400,195.3800,-0.9517,-0.4829,0.0000,negative,0.0040,0.0354
T000189,2025-03-28T14:15:00.000Z,2025-03-28T14:28:19.000Z,long,S1,19700.3900,19717.5000,13.0000,stop_loss,-81.0000,4.5000,75.7500,0.0000,,,-3644475231.7685,-0.9391,negative,19698.3800,19.1200,428202905.7303,20410.8700,693.3700,32517176.6872,[object Object],-0.0102,1.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.0033,-0.0519
T000190,2025-03-28T16:17:00.000Z,2025-03-28T17:16:00.000Z,long,S1,19488.0500,19510.0000,60.0000,max_hold_time,-37.7500,22.7500,60.0000,0.0000,,,-4013166073.2907,-0.9439,negative,19488.0500,21.9500,345364708.1356,20410.0600,900.0600,24415714.5117,[object Object],-0.0139,4.0000,,,0.0572,-0.1131,-6.8300,-7.1500,-0.0147,0.0099,0.0000,negative,0.0049,0.0023
T000191,2025-03-28T19:22:00.000Z,2025-03-28T20:21:00.000Z,long,S2,19471.8800,19462.5000,60.0000,max_hold_time,-56.2500,19.0000,79.0000,0.0000,,,-4059468821.3383,-0.9347,negative,19481.1000,-18.6000,362646638.8848,20402.7800,940.2800,22119531.4440,[object Object],-0.0188,4.0000,,,0.0787,-0.1733,-188.4400,1171.8100,-0.0380,-0.0108,0.0000,negative,0.0225,-0.0116
