trade_id,side,levelType,entryTime,exitTime,snap_ts,bars_elapsed,bars_remaining,frac_elapsed,won,pnl_pts,mfe_pts,mae_pts,exit_reason,regime,gamma_flip,gamma_flip_dist,total_gex,gamma_imbalance,in_dir_wall,in_dir_wall_dist,in_dir_wall_strength,opp_wall,opp_wall_dist,opp_wall_strength,regime_changed_since_entry,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,total_gex_change_pct,gamma_imbalance_change,gamma_flip_drift_signed_dir
T000009,short,R1,2025-01-16T14:33:00.000Z,2025-01-16T15:32:00.000Z,2025-01-16T14:45:00.000Z,12.0000,47.0000,0.2034,1.0000,45.5000,99.5000,38.2500,max_hold_time,positive,21645.0000,-209.2500,2334199165.8623,0.1830,21686.8700,251.1200,1244792114.8085,21351.9300,83.8200,614731419.0475,0.0000,-0.4786,0.2946,-0.3967,-0.2604,2188.2500
T000009,short,R1,2025-01-16T14:33:00.000Z,2025-01-16T15:32:00.000Z,2025-01-16T15:00:00.000Z,27.0000,32.0000,0.4576,1.0000,45.5000,99.5000,38.2500,max_hold_time,positive,21619.6900,-183.9400,2011923703.7433,0.1344,21703.4900,267.7400,953901471.3270,21368.3000,67.4500,659674537.9960,0.0000,-0.6004,0.3893,-0.4800,-0.3090,2162.9400
T000009,short,R1,2025-01-16T14:33:00.000Z,2025-01-16T15:32:00.000Z,2025-01-16T15:15:00.000Z,42.0000,17.0000,0.7119,1.0000,45.5000,99.5000,38.2500,max_hold_time,positive,21411.4500,24.3000,2305787512.5895,0.1762,21452.8700,17.1200,1221995252.2412,21121.5500,314.2000,617988587.7798,0.0000,-0.4881,0.3015,-0.4040,-0.2672,1954.7000
T000009,short,R1,2025-01-16T14:33:00.000Z,2025-01-16T15:32:00.000Z,2025-01-16T15:30:00.000Z,57.0000,2.0000,0.9661,1.0000,45.5000,99.5000,38.2500,max_hold_time,positive,21646.2600,-210.5100,2250793253.9039,0.1623,21688.1300,252.3800,1176944336.7923,21353.1800,82.5700,624540415.1077,0.0000,-0.5070,0.3153,-0.4182,-0.2811,2189.5100
T000010,short,R1,2025-01-16T16:13:31.000Z,2025-01-16T16:41:52.000Z,2025-01-16T16:15:00.000Z,1.0000,26.0000,0.0523,1.0000,119.7500,119.7500,0.5000,take_profit,positive,19452.7800,2011.4700,3520927970.3166,0.4368,21449.4900,-14.7600,2217543422.4740,21118.2200,346.0300,495077181.5156,0.0000,-0.1839,0.1565,-0.2498,-0.1061,-2.9300
T000010,short,R1,2025-01-16T16:13:31.000Z,2025-01-16T16:41:52.000Z,2025-01-16T16:30:00.000Z,16.0000,11.0000,0.5814,1.0000,119.7500,119.7500,0.5000,take_profit,neutral,21412.2600,51.9900,927967038.0111,-0.0462,21453.6800,-10.5700,511525555.6957,21122.3400,341.9100,752487827.1646,1.0000,-0.8118,0.7578,-0.8023,-0.5891,1956.5500
T000011,long,S1,2025-01-16T16:47:00.000Z,2025-01-16T17:46:00.000Z,2025-01-16T17:00:00.000Z,13.0000,46.0000,0.2203,1.0000,21.5000,57.2500,19.5000,max_hold_time,positive,19455.4500,1913.5500,3132070810.5303,0.3634,21121.1200,247.8800,527742774.8719,21452.4300,83.4300,1935945634.4869,0.0000,0.0040,-0.0093,-0.0072,-0.0049,213.0700
T000011,long,S1,2025-01-16T16:47:00.000Z,2025-01-16T17:46:00.000Z,2025-01-16T17:15:00.000Z,28.0000,31.0000,0.4746,1.0000,21.5000,57.2500,19.5000,max_hold_time,positive,19454.6700,1914.3300,4135253933.0449,0.4813,21120.2700,248.7300,458195174.3332,21451.5700,82.5700,2518569114.3883,0.0000,-0.1283,0.2888,0.3108,0.1130,213.8500
T000011,long,S1,2025-01-16T16:47:00.000Z,2025-01-16T17:46:00.000Z,2025-01-16T17:30:00.000Z,43.0000,16.0000,0.7288,1.0000,21.5000,57.2500,19.5000,max_hold_time,positive,19454.5600,1914.4400,2801611167.1390,0.2965,21120.1600,248.8400,561383058.0718,21451.4500,82.4500,1652654716.9522,0.0000,0.0680,-0.1543,-0.1120,-0.0718,213.9600
T000011,long,S1,2025-01-16T16:47:00.000Z,2025-01-16T17:46:00.000Z,2025-01-16T17:45:00.000Z,58.0000,1.0000,0.9831,1.0000,21.5000,57.2500,19.5000,max_hold_time,positive,21409.5200,-40.5200,2683964447.7255,0.2642,21119.6400,249.3600,575110124.7043,21450.9300,81.9300,1541982347.3217,0.0000,0.0941,-0.2109,-0.1493,-0.1042,-1741.0000
T000012,short,R2,2025-01-16T18:09:00.000Z,2025-01-16T18:47:35.000Z,2025-01-16T18:15:00.000Z,6.0000,32.0000,0.1555,1.0000,119.7500,118.7500,18.2500,take_profit,positive,21646.1500,-251.1500,1108983813.9136,-0.0292,21688.0200,293.0200,545470904.0048,21353.0700,41.9300,743528574.8001,0.0000,-0.6434,0.2894,-0.5848,-0.2903,233.7100
T000012,short,R2,2025-01-16T18:09:00.000Z,2025-01-16T18:47:35.000Z,2025-01-16T18:30:00.000Z,21.0000,17.0000,0.5443,1.0000,119.7500,118.7500,18.2500,take_profit,neutral,,,-749260851.6683,-0.0549,21325.8800,-69.1200,709952634.6734,21118.8400,276.1600,893360575.8358,1.0000,-0.5359,0.5492,-1.2805,-0.3160,
T000012,short,R2,2025-01-16T18:09:00.000Z,2025-01-16T18:47:35.000Z,2025-01-16T18:45:00.000Z,36.0000,2.0000,0.9330,1.0000,119.7500,118.7500,18.2500,take_profit,negative,,,-1169847737.2345,-0.1495,21325.2800,-69.7200,629186450.8875,21118.2400,276.7600,961304222.5844,1.0000,-0.5887,0.6670,-1.4379,-0.4106,
T000013,short,R4,2025-01-16T19:42:00.000Z,2025-01-16T20:41:00.000Z,2025-01-16T19:45:00.000Z,3.0000,56.0000,0.0508,1.0000,20.2500,39.7500,43.2500,max_hold_time,positive,21410.5300,-58.0300,2277920978.5082,0.1693,21451.9400,99.4400,1199377289.3927,21120.6400,231.8600,621258309.6706,0.0000,0.9886,-0.1481,0.6342,0.1711,42.3200
T000013,short,R4,2025-01-16T19:42:00.000Z,2025-01-16T20:41:00.000Z,2025-01-16T20:00:00.000Z,18.0000,41.0000,0.3051,1.0000,20.2500,39.7500,43.2500,max_hold_time,positive,21410.9100,-58.4100,2108030098.7432,0.1236,21452.3300,99.8300,1057120383.8544,21121.0200,231.4800,642797504.5010,0.0000,0.7527,-0.1186,0.5123,0.1254,42.7000
T000013,short,R4,2025-01-16T19:42:00.000Z,2025-01-16T20:41:00.000Z,2025-01-16T20:15:00.000Z,33.0000,26.0000,0.5593,1.0000,20.2500,39.7500,43.2500,max_hold_time,neutral,22767.4100,-1414.9100,111259175.9396,-0.1345,21451.3400,98.8400,354867140.8346,21120.0500,232.4500,796208505.2748,1.0000,-0.4116,0.0918,-0.9202,-0.1327,1399.2000
