date,day_of_week,rth_close,overnight_return,direction,overnight_range,max_up,max_down,gex_regime,total_gex,gf_dist,s1_dist,r1_dist,lt_sentiment,evening_ret,dead_zone_ret,european_ret,premarket_ret
2023-06-20,Tuesday,15253.50,-52.00,DOWN,91.50,19.75,71.75,positive,1.48,1450.99,203.78,336.68,BULLISH,14.25,-12.50,-1.25,-45.50
2023-06-21,Wednesday,15045.25,-63.25,DOWN,88.00,12.75,75.25,neutral,-0.06,1453.98,82.39,333.25,BEARISH,2.25,-41.00,-8.00,-11.25
2023-06-22,Thursday,15213.50,-170.25,DOWN,217.00,22.50,194.50,positive,1.85,52.15,467.52,155.54,BEARISH,-14.00,-71.50,-51.00,-56.00
2023-06-26,Monday,14857.25,60.75,UP,75.00,80.00,-5.00,negative,-1.44,942.05,111.29,511.77,BEARISH,18.00,12.00,3.25,9.75
2023-06-27,Tuesday,15108.25,-78.75,DOWN,71.50,-15.50,87.00,neutral,0.21,1197.10,75.91,256.30,BEARISH,-28.50,10.50,-36.00,-4.50
2023-06-28,Wednesday,15139.50,-20.75,DOWN,101.50,63.25,38.25,positive,1.58,1436.39,107.60,224.59,BULLISH,11.25,-23.50,10.00,-39.75
2023-06-29,Thursday,15103.25,149.00,UP,164.75,160.50,4.25,positive,1.28,-46.12,368.93,46.12,BULLISH,11.00,26.25,22.00,87.00
2023-07-03,Monday,15357.00,6.50,RANGE,30.50,7.75,22.75,positive,2.16,1457.95,296.24,77.17,BEARISH,-19.75,10.25,-2.25,17.50
2023-07-04,Tuesday,15344.50,-50.75,DOWN,101.25,12.00,89.25,,,,,,BULLISH,-4.50,0.50,-44.25,-3.75
2023-07-05,Wednesday,15359.75,-163.75,DOWN,201.50,6.25,195.25,positive,1.91,,93.02,72.92,BEARISH,4.25,-70.00,4.50,-97.25
2023-07-06,Thursday,15235.75,-14.75,DOWN,137.50,78.25,59.25,neutral,0.43,1346.74,61.49,104.35,BULLISH,14.75,-6.75,-6.75,8.00
2023-07-10,Monday,15190.00,11.75,UP,63.75,49.75,14.00,neutral,0.18,-894.35,142.01,148.17,BULLISH,-3.50,14.50,-11.50,6.50
2023-07-11,Tuesday,15258.50,171.75,UP,183.50,179.50,4.00,positive,1.04,-158.26,339.05,75.37,BULLISH,6.25,11.00,15.00,139.50
2023-07-12,Wednesday,15451.75,124.25,UP,124.75,129.50,-4.75,positive,2.50,118.25,325.46,88.96,BEARISH,13.75,27.75,45.75,30.75
2023-07-13,Thursday,15706.00,15.75,UP,58.50,32.50,26.00,positive,3.12,1205.95,211.66,36.91,BEARISH,13.25,15.00,-17.25,11.75
2023-07-17,Monday,15844.25,-29.25,DOWN,47.75,-0.50,48.25,positive,2.78,1556.93,355.97,99.57,BEARISH,-13.25,5.00,0.25,-8.75
2023-07-18,Tuesday,15973.00,40.00,UP,72.50,44.50,28.00,positive,3.30,,486.21,176.33,BEARISH,12.50,2.25,24.00,26.00
2023-07-19,Wednesday,15957.00,-123.25,DOWN,120.50,-31.25,151.75,positive,2.02,,183.22,-17.61,BEARISH,-65.75,40.75,-65.00,1.50
2023-07-20,Thursday,15588.00,100.00,UP,163.00,129.50,33.50,neutral,0.37,-799.37,111.04,344.16,BULLISH,-10.75,25.00,49.00,34.00
2023-07-24,Monday,15563.75,25.00,UP,80.00,65.50,14.50,neutral,-0.43,1500.45,52.75,360.87,BULLISH,-2.75,-3.25,57.00,-32.00
2023-07-25,Tuesday,15668.75,-49.25,DOWN,133.00,70.50,62.50,neutral,-0.22,1522.03,157.00,256.65,BEARISH,-92.75,6.00,0.25,-24.25
2023-07-26,Wednesday,15612.75,222.00,UP,213.00,231.75,-18.75,neutral,0.55,-515.33,104.98,308.56,BULLISH,15.00,59.25,89.00,32.50
2023-07-27,Thursday,15566.00,171.50,UP,215.75,196.00,19.75,neutral,0.23,-1173.33,66.62,346.69,BEARISH,7.00,59.50,23.75,68.50
2023-07-31,Monday,15863.00,-66.75,DOWN,133.50,26.25,107.25,positive,1.18,985.49,158.96,47.67,BULLISH,-9.00,-1.00,-45.50,-15.75
2023-08-01,Tuesday,15816.75,-149.25,DOWN,199.50,-27.00,226.50,neutral,-0.56,942.57,116.22,296.95,BEARISH,-4.00,-40.25,-78.50,32.50
2023-08-02,Wednesday,15468.25,-110.50,DOWN,168.00,39.25,128.75,negative,-2.14,,181.83,1057.61,BULLISH,36.00,-30.25,-69.00,-34.00
2023-08-03,Thursday,15430.25,81.50,UP,160.75,132.25,28.50,negative,-1.81,,155.42,463.83,BULLISH,40.25,72.50,-33.50,-8.50
2023-08-07,Monday,15486.50,-107.00,DOWN,179.00,11.25,167.75,negative,-1.22,1452.13,213.81,1024.52,BEARISH,-7.25,-75.25,20.00,-53.75
2023-08-08,Tuesday,15350.25,10.50,UP,89.00,82.25,6.75,negative,-2.83,,79.54,1158.62,BULLISH,1.50,36.75,33.50,-61.25
2023-08-09,Wednesday,15180.25,120.25,UP,156.75,177.25,-20.50,negative,-3.07,1441.04,120.76,1323.30,BULLISH,16.25,23.25,35.00,23.25
2023-08-10,Thursday,15200.50,-109.25,DOWN,187.50,66.25,121.25,negative,-2.47,1385.92,148.79,1294.52,BEARISH,20.75,-16.00,-52.00,-81.50
2023-08-14,Monday,15272.50,-48.00,DOWN,183.00,62.50,120.50,neutral,-0.83,,224.47,1218.49,BEARISH,21.75,9.50,-81.25,-4.00
2023-08-15,Tuesday,15105.25,-26.50,DOWN,102.00,60.75,41.25,negative,-2.67,,59.76,1382.96,BULLISH,11.00,-12.50,38.00,-70.25
2023-08-16,Wednesday,14939.00,55.00,UP,130.75,79.25,51.50,negative,-4.00,1291.88,-85.35,1337.38,BEARISH,-9.75,-5.75,37.50,32.50
2023-08-17,Thursday,14772.25,-140.50,DOWN,171.00,18.75,152.25,strong_negative,-5.15,1425.87,107.71,1704.76,BULLISH,6.75,3.50,-3.75,-122.00
2023-08-21,Monday,14987.00,104.75,UP,175.25,131.25,44.00,negative,-1.97,,160.99,1486.34,BEARISH,-20.00,15.50,86.50,35.00
2023-08-22,Tuesday,14960.25,48.75,UP,125.75,122.75,3.00,negative,-1.88,,137.39,686.10,BULLISH,4.75,65.25,35.00,-56.25
