date,label,move,rel_bucket,cx_bid_behind,cx_ask_behind,cx_at_bbo,add_sz
2025-12-29,ct3,-3.25,11,436,408,3566,0
2025-12-29,ct3,-3.25,12,454,543,4069,0
2025-12-29,ct3,-3.25,13,267,376,3187,0
2025-12-29,ct3,-3.25,14,287,404,3024,0
2025-12-29,ct3,-3.25,15,300,474,3073,0
2025-12-29,ct3,-3.25,16,327,421,3467,0
2025-12-29,ct3,-3.25,17,318,348,3167,0
2025-12-29,ct4,-3.25,-36,186,166,1521,0
2025-12-29,ct4,-3.25,-35,102,107,790,0
2025-12-29,ct4,-3.25,-34,73,86,710,0
2025-12-29,ct4,-3.25,-33,110,96,957,0
2025-12-29,ct4,-3.25,-32,102,85,604,0
2025-12-29,ct4,-3.25,-31,91,52,530,0
2025-12-29,ct4,-3.25,-30,69,103,643,0
2025-12-29,ct4,-3.25,-29,77,48,437,0
2025-12-29,ct4,-3.25,-28,76,53,469,0
2025-12-29,ct4,-3.25,-27,102,66,622,0
2025-12-29,ct4,-3.25,-26,214,178,966,0
2025-12-29,ct4,-3.25,-25,95,85,492,0
2025-12-29,ct4,-3.25,-24,97,93,543,0
2025-12-29,ct4,-3.25,-23,108,108,496,0
2025-12-29,ct4,-3.25,-22,73,66,392,0
2025-12-29,ct4,-3.25,-21,109,94,564,0
2025-12-29,ct4,-3.25,-20,110,93,563,0
2025-12-29,ct4,-3.25,-19,85,73,419,0
2025-12-29,ct4,-3.25,-18,308,202,1149,0
2025-12-29,ct4,-3.25,-17,408,255,1283,0
2025-12-29,ct4,-3.25,-16,386,193,1107,0
2025-12-29,ct4,-3.25,-15,608,399,2207,0
2025-12-29,ct4,-3.25,-14,261,210,2415,0
2025-12-29,ct4,-3.25,-13,170,179,1449,0
2025-12-29,ct4,-3.25,-12,149,112,1325,0
2025-12-29,ct4,-3.25,-11,156,123,1417,0
2025-12-29,ct4,-3.25,-10,97,94,954,0
2025-12-29,ct4,-3.25,-9,123,146,830,0
2025-12-29,ct4,-3.25,-8,120,118,850,0
2025-12-29,ct4,-3.25,-7,144,140,1045,0
2025-12-29,ct4,-3.25,-6,143,169,1287,0
2025-12-29,ct4,-3.25,-5,117,106,982,0
2025-12-29,ct4,-3.25,-4,120,127,1150,0
2025-12-29,ct4,-3.25,-3,102,105,974,0
2025-12-29,ct4,-3.25,-2,70,66,680,0
2025-12-29,ct4,-3.25,-1,165,126,972,0
2025-12-29,ct4,-3.25,0,154,163,1422,0
2025-12-29,ct4,-3.25,1,101,110,617,0
2025-12-29,ct4,-3.25,2,128,113,1044,0
2025-12-29,ct4,-3.25,3,114,91,905,0
2025-12-29,ct4,-3.25,4,118,89,985,0
2025-12-29,ct4,-3.25,5,134,95,1073,0
2025-12-29,ct4,-3.25,6,130,103,864,0
2025-12-29,ct4,-3.25,7,101,64,709,0
2025-12-29,ct4,-3.25,8,109,76,925,0
2025-12-29,ct4,-3.25,9,140,78,1040,0
2025-12-29,ct4,-3.25,10,152,123,990,0
2025-12-29,ct4,-3.25,11,154,68,874,0
2025-12-29,ct4,-3.25,12,224,151,1674,0
2025-12-29,ct4,-3.25,13,144,95,1044,0
2025-12-29,ct4,-3.25,14,167,121,981,0
2025-12-29,ct4,-3.25,15,121,97,1012,0
2025-12-29,ct4,-3.25,16,105,93,669,0
2025-12-29,ct4,-3.25,17,97,81,695,0
2025-12-29,ct5,0.0,-36,92,69,1097,0
2025-12-29,ct5,0.0,-35,81,105,1031,0
2025-12-29,ct5,0.0,-34,238,139,2075,0
2025-12-29,ct5,0.0,-33,104,76,1096,0
2025-12-29,ct5,0.0,-32,106,122,881,0
2025-12-29,ct5,0.0,-31,62,55,734,0
2025-12-29,ct5,0.0,-30,89,66,991,0
2025-12-29,ct5,0.0,-29,65,58,617,0
2025-12-29,ct5,0.0,-28,55,80,557,0
2025-12-29,ct5,0.0,-27,78,115,785,0
2025-12-29,ct5,0.0,-26,79,84,718,0
2025-12-29,ct5,0.0,-25,78,66,495,0
2025-12-29,ct5,0.0,-24,124,66,957,0
2025-12-29,ct5,0.0,-23,76,79,812,0
2025-12-29,ct5,0.0,-22,80,123,1140,0
2025-12-29,ct5,0.0,-21,61,69,626,0
2025-12-29,ct5,0.0,-20,77,81,1018,0
2025-12-29,ct5,0.0,-19,42,54,799,0
2025-12-29,ct5,0.0,-18,88,80,947,0
2025-12-29,ct5,0.0,-17,82,100,790,0
2025-12-29,ct5,0.0,-16,57,56,558,0
2025-12-29,ct5,0.0,-15,71,108,771,0
2025-12-29,ct5,0.0,-14,86,157,936,0
2025-12-29,ct5,0.0,-13,87,120,1113,0
2025-12-29,ct5,0.0,-12,71,84,948,0
2025-12-29,ct5,0.0,-11,63,78,857,0
2025-12-29,ct5,0.0,-10,73,86,660,0
2025-12-29,ct5,0.0,-9,85,102,851,0
2025-12-29,ct5,0.0,-8,78,65,780,0
2025-12-29,ct5,0.0,-7,177,135,1794,0
2025-12-29,ct5,0.0,-6,128,86,1396,0
2025-12-29,ct5,0.0,-5,74,83,905,0
2025-12-29,ct5,0.0,-4,56,64,910,0
2025-12-29,ct5,0.0,-3,74,52,813,0
2025-12-29,ct5,0.0,-2,64,65,650,0
2025-12-29,ct5,0.0,-1,158,87,972,0
2025-12-29,ct5,0.0,0,92,76,914,0
2025-12-29,ct5,0.0,1,83,77,874,0
2025-12-29,ct5,0.0,2,160,82,1242,0
2025-12-29,ct5,0.0,3,96,91,1043,0
2025-12-29,ct5,0.0,4,80,107,878,0
2025-12-29,ct5,0.0,5,72,56,626,0
2025-12-29,ct5,0.0,6,89,90,792,0
2025-12-29,ct5,0.0,7,97,72,821,0
2025-12-29,ct5,0.0,8,89,83,730,0
2025-12-29,ct5,0.0,9,77,87,668,0
2025-12-29,ct5,0.0,10,68,78,638,0
2025-12-29,ct5,0.0,11,77,51,785,0
2025-12-29,ct5,0.0,12,83,78,1020,0
2025-12-29,ct5,0.0,13,61,62,594,0
2025-12-29,ct5,0.0,14,59,59,682,0
2025-12-29,ct5,0.0,15,71,62,746,0
2025-12-29,ct5,0.0,16,38,48,478,0
2025-12-29,ct5,0.0,17,71,54,637,0
2025-12-29,ev0,63.0,-36,1445,1198,6825,0
2025-12-29,ev0,63.0,-35,820,760,4464,0
2025-12-29,ev0,63.0,-34,835,769,4463,0
2025-12-29,ev0,63.0,-33,826,677,3605,0
2025-12-29,ev0,63.0,-32,663,528,2897,0
2025-12-29,ev0,63.0,-31,566,531,3122,0
2025-12-29,ev0,63.0,-30,998,830,6129,0
2025-12-29,ev0,63.0,-29,638,462,5564,0
2025-12-29,ev0,63.0,-28,751,617,5701,0
2025-12-29,ev0,63.0,-27,584,491,4295,0
2025-12-29,ev0,63.0,-26,525,422,3669,0
2025-12-29,ev0,63.0,-25,532,416,3723,0
2025-12-29,ev0,63.0,-24,941,713,6297,0
2025-12-29,ev0,63.0,-23,597,595,5123,0
2025-12-29,ev0,63.0,-22,586,540,4818,0
2025-12-29,ev0,63.0,-21,359,461,3933,0
2025-12-29,ev0,63.0,-20,493,559,4079,0
2025-12-29,ev0,63.0,-19,436,408,3566,0
2025-12-29,ev0,63.0,-18,454,543,4069,0
2025-12-29,ev0,63.0,-17,267,376,3187,0
2025-12-29,ev0,63.0,-16,287,404,3024,0
2025-12-29,ev0,63.0,-15,300,474,3073,0
2025-12-29,ev0,63.0,-14,327,421,3467,0
2025-12-29,ev0,63.0,-13,318,348,3167,0
2025-12-29,ev0,63.0,-12,465,470,3642,0
2025-12-29,ev0,63.0,-11,368,279,2824,0
2025-12-29,ev0,63.0,-10,305,269,2550,0
2025-12-29,ev0,63.0,-9,334,382,2924,0
2025-12-29,ev0,63.0,-8,329,360,2618,0
2025-12-29,ev0,63.0,-7,233,285,2395,0
2025-12-29,ev0,63.0,-6,469,403,3559,0
2025-12-29,ev0,63.0,-5,408,344,3165,0
2025-12-29,ev0,63.0,-4,367,338,2640,0
2025-12-29,ev0,63.0,-3,352,250,2916,0
2025-12-29,ev0,63.0,-2,324,261,2277,0
2025-12-29,ev0,63.0,-1,262,302,2350,0
2025-12-29,ev0,63.0,0,935,641,4801,0
2025-12-29,ev0,63.0,1,448,581,3542,0
2025-12-29,ev0,63.0,2,337,487,3067,0
2025-12-29,ev0,63.0,3,480,523,3247,0
2025-12-29,ev0,63.0,4,471,433,2975,0
2025-12-29,ev0,63.0,5,516,543,3570,0
2025-12-29,ev0,63.0,6,760,792,3903,0
2025-12-29,ev0,63.0,7,532,736,4646,0
2025-12-29,ev0,63.0,8,493,468,3720,0
2025-12-29,ev0,63.0,9,431,345,3550,0
2025-12-29,ev0,63.0,10,276,362,3466,0
2025-12-29,ev0,63.0,11,410,478,3340,0
2025-12-29,ev0,63.0,12,320,400,3309,0
2025-12-29,ev0,63.0,13,374,433,2921,0
2025-12-29,ev0,63.0,14,472,398,3019,0
2025-12-29,ev0,63.0,15,375,451,3138,0
2025-12-29,ev0,63.0,16,302,269,2472,0
2025-12-29,ev0,63.0,17,214,279,2362,0
2025-12-29,ev1,-44.75,-36,304,298,2480,0
2025-12-29,ev1,-44.75,-35,200,280,2335,0
2025-12-29,ev1,-44.75,-34,305,356,2821,0
2025-12-29,ev1,-44.75,-33,224,206,2131,0
2025-12-29,ev1,-44.75,-32,386,295,2572,0
2025-12-29,ev1,-44.75,-31,172,179,1957,0
2025-12-29,ev1,-44.75,-30,465,527,4658,0
2025-12-29,ev1,-44.75,-29,289,223,2624,0
2025-12-29,ev1,-44.75,-28,314,310,3180,0
2025-12-29,ev1,-44.75,-27,258,272,2509,0
2025-12-29,ev1,-44.75,-26,280,237,2312,0
2025-12-29,ev1,-44.75,-25,354,280,2703,0
2025-12-29,ev1,-44.75,-24,293,338,3291,0
2025-12-29,ev1,-44.75,-23,262,292,2741,0
2025-12-29,ev1,-44.75,-22,273,296,2894,0
2025-12-29,ev1,-44.75,-21,600,597,3551,0
2025-12-29,ev1,-44.75,-20,304,233,2216,0
2025-12-29,ev1,-44.75,-19,226,179,1558,0
2025-12-29,ev1,-44.75,-18,269,190,2269,0
2025-12-29,ev1,-44.75,-17,239,166,1830,0
2025-12-29,ev1,-44.75,-16,223,159,1845,0
2025-12-29,ev1,-44.75,-15,305,198,1898,0
2025-12-29,ev1,-44.75,-14,217,229,1788,0
2025-12-29,ev1,-44.75,-13,211,180,1648,0
2025-12-29,ev1,-44.75,-12,282,304,2581,0
2025-12-29,ev1,-44.75,-11,207,190,1769,0
2025-12-29,ev1,-44.75,-10,213,209,1870,0
2025-12-29,ev1,-44.75,-9,270,263,1859,0
2025-12-29,ev1,-44.75,-8,298,211,1908,0
2025-12-29,ev1,-44.75,-7,252,295,2019,0
2025-12-29,ev1,-44.75,-6,352,430,3035,0
2025-12-29,ev1,-44.75,-5,222,196,1900,0
2025-12-29,ev1,-44.75,-4,278,236,1945,0
2025-12-29,ev1,-44.75,-3,207,175,2134,0
2025-12-29,ev1,-44.75,-2,209,131,2008,0
2025-12-29,ev1,-44.75,-1,250,195,2604,0
2025-12-29,ev1,-44.75,0,399,676,5314,0
2025-12-29,ev1,-44.75,1,476,751,3921,0
2025-12-29,ev1,-44.75,2,509,562,4100,0
2025-12-29,ev1,-44.75,3,374,349,3426,0
2025-12-29,ev1,-44.75,4,384,531,3856,0
2025-12-29,ev1,-44.75,5,335,322,3612,0
2025-12-29,ev1,-44.75,6,549,435,5157,0
2025-12-29,ev1,-44.75,7,258,285,3340,0
2025-12-29,ev1,-44.75,8,447,390,3685,0
2025-12-29,ev1,-44.75,9,273,291,3973,0
2025-12-29,ev1,-44.75,10,378,302,4048,0
2025-12-29,ev1,-44.75,11,300,258,3568,0
