date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2025-06-26,827,rth,NQU5,-2.25,0,0,486.0,20.25,3.25,-2.25,41.667,758.0,31.0,-2.5,40.897,0.0,0.0,0.75
2025-10-23,827,rth,NQZ5,-2.75,0,0,762.0,27.0,8.25,-2.75,35.433,1963.0,54.25,4.25,27.636,2.75,9.5,-6.0
2025-07-24,827,rth,NQU5,2.5,0,0,350.0,13.25,3.75,2.5,37.857,821.0,35.5,2.5,43.24,1.0,4.5,-0.5
2025-03-31,827,rth,NQM5,-4.5,0,0,946.0,53.75,15.25,-4.5,56.818,1953.0,130.25,-1.75,66.692,3.25,43.0,55.5
2025-09-04,830,rth,NQU5,2.75,0,0,541.0,22.5,6.0,2.75,41.59,942.0,35.75,0.5,37.951,7.5,7.25,8.0
2025-05-20,830,rth,NQM5,-1.25,0,0,1316.0,56.25,14.0,-1.25,42.743,859.0,71.75,-8.0,83.527,5.75,10.5,19.5
2025-09-08,830,rth,NQU5,1.0,0,0,390.0,24.75,4.0,1.0,63.462,1259.0,50.0,-8.5,39.714,-11.5,-4.25,-8.5
2025-12-18,830,rth,NQH6,-1.5,0,0,1158.0,57.0,14.75,-1.5,49.223,1577.0,110.75,-4.0,70.228,15.0,-0.25,-85.5
2025-12-23,830,rth,NQH6,-3.25,0,0,310.0,13.75,5.0,-3.25,44.355,270.0,21.0,-1.0,77.778,-2.25,-1.75,9.25
2025-04-02,831,rth,NQM5,2.0,0,0,1075.0,67.75,12.0,2.0,63.023,3137.0,127.0,-7.75,40.485,-7.75,19.5,-39.25
2025-09-09,831,rth,NQU5,-1.0,0,0,312.0,24.5,3.5,-1.0,78.526,598.0,43.25,-1.0,72.324,6.5,5.5,7.0
2026-01-05,831,rth,NQH6,-2.75,0,0,271.0,24.25,4.75,-2.75,89.483,1071.0,57.0,-9.75,53.221,3.5,1.75,-3.0
2025-03-18,831,rth,NQM5,-7.25,0,0,577.0,54.0,12.0,-7.25,93.588,1221.0,105.25,12.0,86.2,4.5,-23.5,-44.0
2025-03-25,831,rth,NQM5,-2.5,0,0,634.0,31.0,8.25,-2.5,48.896,1409.0,57.25,-1.75,40.632,-3.75,8.0,-6.25
2025-10-07,834,rth,NQZ5,-4.75,0,0,417.0,30.5,7.75,-4.75,73.141,1337.0,88.0,3.25,65.819,-2.0,-5.25,-1.25
2025-05-22,834,rth,NQM5,0.75,0,0,545.0,47.75,8.0,0.75,87.615,639.0,72.75,-3.25,113.85,27.5,16.75,14.25
2025-08-14,834,rth,NQU5,4.0,0,0,346.0,21.5,4.75,4.0,62.139,891.0,49.75,5.25,55.836,1.25,9.5,-20.5
2025-07-09,834,rth,NQU5,-3.5,0,0,867.0,50.0,11.0,-3.5,57.67,2922.0,115.5,-17.5,39.528,-5.25,11.0,36.75
2025-11-11,834,rth,NQZ5,-5.25,0,0,855.0,41.0,14.5,-5.25,47.953,2216.0,85.5,10.75,38.583,0.25,14.75,-29.5
2025-10-14,846,rth,NQZ5,-0.75,0,0,577.0,45.5,10.25,-0.75,78.856,1205.0,79.0,4.0,65.56,2.0,9.75,-0.25
2025-06-12,846,rth,NQM5,3.0,0,0,654.0,38.0,9.0,3.0,58.104,931.0,59.0,11.75,63.373,-1.75,0.0,-8.5
2025-06-17,846,rth,NQU5,-4.5,0,0,869.0,72.5,18.5,-4.5,83.429,1695.0,134.25,17.75,79.204,15.75,21.0,-1.0
2025-05-05,846,rth,NQM5,2.5,0,0,471.0,23.0,6.0,2.5,48.832,974.0,44.5,2.25,45.688,7.0,2.0,7.0
2025-02-19,846,rth,NQH5,3.25,0,0,582.0,20.75,5.5,3.25,35.653,1373.0,59.75,-1.25,43.518,-3.75,-6.0,34.0
2025-07-15,848,rth,NQU5,-3.0,0,0,526.0,22.25,5.5,-3.0,42.3,1116.0,47.5,7.25,42.563,1.25,-0.5,3.75
2025-03-27,848,rth,NQM5,-2.5,0,0,1251.0,61.75,22.0,-2.5,49.361,2149.0,92.5,18.0,43.043,-4.5,2.5,12.0
2025-07-08,848,rth,NQU5,1.25,0,0,420.0,25.25,5.25,1.25,60.119,1094.0,57.25,-4.75,52.331,-2.25,0.0,-14.0
2025-09-12,848,rth,NQU5,1.0,0,0,209.0,11.75,2.75,1.0,56.22,512.0,29.25,2.25,57.129,3.25,4.5,2.5
2025-08-07,848,rth,NQU5,-5.0,0,0,1181.0,66.5,16.25,-5.0,56.308,1526.0,112.0,-20.25,73.394,0.25,-33.25,-50.0
2025-04-23,849,rth,NQM5,-3.25,0,0,563.0,58.5,12.5,-3.25,103.908,1430.0,147.5,14.75,103.147,4.0,7.25,-9.0
2025-08-15,849,rth,NQU5,-0.75,0,0,336.0,31.0,7.25,-0.75,92.262,700.0,66.0,5.5,94.286,-1.0,-9.75,-16.5
2025-07-11,849,rth,NQU5,-8.0,0,0,561.0,25.25,9.0,-8.0,45.009,1330.0,56.5,7.25,42.481,-5.75,3.5,1.75
2025-01-16,849,rth,NQH5,-2.75,0,0,501.0,42.0,6.0,-2.75,83.832,1982.0,84.0,1.5,42.381,1.25,10.75,-15.25
2025-12-23,849,rth,NQH6,0.75,0,0,273.0,14.0,2.25,0.75,51.282,618.0,29.25,1.25,47.33,-1.5,0.75,0.75
2025-05-05,853,rth,NQM5,0.25,0,0,272.0,23.25,4.25,0.25,85.478,615.0,45.0,6.25,73.171,6.5,-3.5,-1.0
2025-02-18,853,rth,NQH5,7.75,0,0,1049.0,48.75,18.5,7.75,46.473,1609.0,88.0,5.5,54.692,-7.75,-11.25,20.25
2025-09-05,853,rth,NQU5,3.25,0,0,396.0,39.5,6.75,3.25,99.747,1263.0,90.25,-2.25,71.457,9.75,25.25,19.75
2026-01-12,853,rth,NQH6,1.0,0,0,239.0,17.0,4.0,1.0,71.13,864.0,31.75,2.0,36.748,-0.5,8.0,17.25
2025-05-13,853,rth,NQM5,-1.25,0,0,238.0,34.25,7.75,-1.25,143.908,820.0,73.5,4.75,89.634,2.75,5.75,-1.5
