Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
21,Entry long,2026-06-16 02:13,B=0|T=20260616T0613,30826.5,1,616530,-20,0.00,65,0.01,-290,-0.05,-150,0.00,11
22,Exit long,2026-06-16 02:39,X,30821,1,616510,-90,-0.01,230,0.04,-140,-0.02,-240,0.00,15
22,Entry long,2026-06-16 02:24,B=1|T=20260616T0624,30825.5,1,616510,-90,-0.01,230,0.04,-140,-0.02,-240,0.00,15
23,Exit long,2026-06-16 02:41,X,30822,1,616420,20,0.00,45,0.01,-35,-0.01,-220,0.00,2
23,Entry long,2026-06-16 02:39,B=0|T=20260616T0639,30821,1,616420,20,0.00,45,0.01,-35,-0.01,-220,0.00,2
24,Exit long,2026-06-16 02:43,X,30820.5,1,616440,-30,0.00,135,0.02,-35,-0.01,-250,0.00,2
24,Entry long,2026-06-16 02:41,B=1|T=20260616T0641,30822,1,616440,-30,0.00,135,0.02,-35,-0.01,-250,0.00,2
25,Exit long,2026-06-16 02:50,X,30821.75,1,616410,25,0.00,35,0.01,-190,-0.03,-225,0.00,7
25,Entry long,2026-06-16 02:43,B=0|T=20260616T0643,30820.5,1,616410,25,0.00,35,0.01,-190,-0.03,-225,0.00,7
26,Exit long,2026-06-16 02:52,X,30820.25,1,616435,-30,0.00,5,0.00,-55,-0.01,-255,0.00,2
26,Entry long,2026-06-16 02:50,B=1|T=20260616T0650,30821.75,1,616435,-30,0.00,5,0.00,-55,-0.01,-255,0.00,2
27,Exit long,2026-06-16 02:53,X,30827.25,1,616405,140,0.02,160,0.03,-15,0.00,-115,0.00,1
27,Entry long,2026-06-16 02:52,B=0|T=20260616T0652,30820.25,1,616405,140,0.02,160,0.03,-15,0.00,-115,0.00,1
28,Exit long,2026-06-16 03:03,X,30823.5,1,616545,-75,-0.01,320,0.05,-145,-0.02,-190,0.00,10
28,Entry long,2026-06-16 02:53,B=1|T=20260616T0653,30827.25,1,616545,-75,-0.01,320,0.05,-145,-0.02,-190,0.00,10
29,Exit long,2026-06-16 03:08,X,30833,1,616470,190,0.03,265,0.04,-180,-0.03,0,0.00,5
29,Entry long,2026-06-16 03:03,B=0|T=20260616T0703,30823.5,1,616470,190,0.03,265,0.04,-180,-0.03,0,0.00,5
30,Exit long,2026-06-16 03:11,X,30827.25,1,616660,-115,-0.02,310,0.05,-130,-0.02,-115,0.00,3
30,Entry long,2026-06-16 03:08,B=1|T=20260616T0708,30833,1,616660,-115,-0.02,310,0.05,-130,-0.02,-115,0.00,3
31,Exit long,2026-06-16 03:16,X,30833.75,1,616545,130,0.02,175,0.03,-145,-0.02,15,0.00,5
31,Entry long,2026-06-16 03:11,B=0|T=20260616T0711,30827.25,1,616545,130,0.02,175,0.03,-145,-0.02,15,0.00,5
32,Exit long,2026-06-16 03:17,X,30823.75,1,616675,-200,-0.03,10,0.00,-200,-0.03,-185,0.00,1
32,Entry long,2026-06-16 03:16,B=1|T=20260616T0716,30833.75,1,616675,-200,-0.03,10,0.00,-200,-0.03,-185,0.00,1
33,Exit long,2026-06-16 03:19,X,30834.75,1,616475,220,0.04,300,0.05,-130,-0.02,35,0.00,2
33,Entry long,2026-06-16 03:17,B=0|T=20260616T0717,30823.75,1,616475,220,0.04,300,0.05,-130,-0.02,35,0.00,2
34,Exit long,2026-06-16 03:20,X,30825.75,1,616695,-180,-0.03,0,0.00,-240,-0.04,-145,0.00,1
34,Entry long,2026-06-16 03:19,B=1|T=20260616T0719,30834.75,1,616695,-180,-0.03,0,0.00,-240,-0.04,-145,0.00,1
35,Exit long,2026-06-16 03:21,X,30835,1,616515,185,0.03,210,0.03,-45,-0.01,40,0.00,1
35,Entry long,2026-06-16 03:20,B=0|T=20260616T0720,30825.75,1,616515,185,0.03,210,0.03,-45,-0.01,40,0.00,1
36,Exit long,2026-06-16 03:22,X,30823.75,1,616700,-225,-0.04,15,0.00,-290,-0.05,-185,0.00,1
36,Entry long,2026-06-16 03:21,B=1|T=20260616T0721,30835,1,616700,-225,-0.04,15,0.00,-290,-0.05,-185,0.00,1
37,Exit long,2026-06-16 03:26,X,30832,1,616475,165,0.03,215,0.03,-70,-0.01,-20,0.00,4
37,Entry long,2026-06-16 03:22,B=0|T=20260616T0722,30823.75,1,616475,165,0.03,215,0.03,-70,-0.01,-20,0.00,4
38,Exit long,2026-06-16 03:41,X,30831.75,1,616640,-5,0.00,250,0.04,-55,-0.01,-25,0.00,15
38,Entry long,2026-06-16 03:26,B=1|T=20260616T0726,30832,1,616640,-5,0.00,250,0.04,-55,-0.01,-25,0.00,15
39,Exit long,2026-06-16 03:52,X,30829,1,616635,-55,-0.01,20,0.00,-475,-0.08,-80,0.00,11
39,Entry long,2026-06-16 03:41,B=0|T=20260616T0741,30831.75,1,616635,-55,-0.01,20,0.00,-475,-0.08,-80,0.00,11
40,Exit long,2026-06-16 04:36,X,30883.75,1,616580,1095,0.18,1545,0.25,-10,0.00,1015,0.00,44
40,Entry long,2026-06-16 03:52,B=1|T=20260616T0752,30829,1,616580,1095,0.18,1545,0.25,-10,0.00,1015,0.00,44
41,Exit long,2026-06-16 04:52,X,30917.75,1,617675,680,0.11,725,0.12,-385,-0.06,1695,0.00,16
41,Entry long,2026-06-16 04:36,B=0|T=20260616T0836,30883.75,1,617675,680,0.11,725,0.12,-385,-0.06,1695,0.00,16
42,Exit long,2026-06-16 05:09,X,30927.25,1,618355,190,0.03,535,0.09,-70,-0.01,1885,0.00,17
42,Entry long,2026-06-16 04:52,B=1|T=20260616T0852,30917.75,1,618355,190,0.03,535,0.09,-70,-0.01,1885,0.00,17
43,Exit long,2026-06-16 06:08,X,30889.75,1,618545,-750,-0.12,80,0.01,-1280,-0.21,1135,0.00,59
43,Entry long,2026-06-16 05:09,B=0|T=20260616T0909,30927.25,1,618545,-750,-0.12,80,0.01,-1280,-0.21,1135,0.00,59
44,Exit long,2026-06-16 06:10,X,30885.25,1,617795,-90,-0.01,70,0.01,-90,-0.01,1045,0.00,2
44,Entry long,2026-06-16 06:08,B=1|T=20260616T1008,30889.75,1,617795,-90,-0.01,70,0.01,-90,-0.01,1045,0.00,2
45,Exit long,2026-06-16 06:11,X,30887.5,1,617705,45,0.01,70,0.01,0,0.00,1090,0.00,1
45,Entry long,2026-06-16 06:10,B=0|T=20260616T1010,30885.25,1,617705,45,0.01,70,0.01,0,0.00,1090,0.00,1
46,Exit long,2026-06-16 07:26,X,30942.75,1,617750,1105,0.18,1760,0.28,-40,-0.01,2195,0.00,75
46,Entry long,2026-06-16 06:11,B=1|T=20260616T1011,30887.5,1,617750,1105,0.18,1760,0.28,-40,-0.01,2195,0.00,75
47,Exit long,2026-06-16 07:28,X,30953,1,618855,205,0.03,210,0.03,-120,-0.02,2400,0.00,2
47,Entry long,2026-06-16 07:26,B=0|T=20260616T1126,30942.75,1,618855,205,0.03,210,0.03,-120,-0.02,2400,0.00,2
48,Exit long,2026-06-16 07:29,X,30950.5,1,619060,-50,-0.01,80,0.01,-70,-0.01,2350,0.00,1
48,Entry long,2026-06-16 07:28,B=1|T=20260616T1128,30953,1,619060,-50,-0.01,80,0.01,-70,-0.01,2350,0.00,1
