Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3203,Exit long,2023-02-13 14:00,1=15743.44|2=15986.74|3=15929.18|4=15110.88|5=15082.24|S=0|T=20230213T1900,15723.5,1,314765,-295,-0.09,140,0.04,-1555,-0.49,-43070,0.00,1
3203,Entry long,2023-02-13 10:00,1=15693.56|2=16074.38|3=15891.89|4=15076.09|5=15049.69|S=0|T=20230213T1500,15738.25,1,314765,-295,-0.09,140,0.04,-1555,-0.49,-43070,0.00,1
3204,Exit short,2023-02-13 18:00,1=15749.53|2=15955.96|3=15928.73|4=15107.28|5=15080.84|S=0|T=20230213T2300,15693.75,1,314470,595,0.19,690,0.22,-85,-0.03,-42475,0.00,1
3204,Entry short,2023-02-13 14:00,1=15743.44|2=15986.74|3=15929.18|4=15110.88|5=15082.24|S=0|T=20230213T1900,15723.5,1,314470,595,0.19,690,0.22,-85,-0.03,-42475,0.00,1
3205,Exit long,2023-02-13 22:00,1=15712.29|2=15932.41|3=15925.06|4=15107.96|5=15078.84|S=0|T=20230214T0300,15709.5,1,313875,315,0.10,435,0.14,-210,-0.07,-42160,0.00,1
3205,Entry long,2023-02-13 18:00,1=15749.53|2=15955.96|3=15928.73|4=15107.28|5=15080.84|S=0|T=20230213T2300,15693.75,1,313875,315,0.10,435,0.14,-210,-0.07,-42160,0.00,1
3206,Exit short,2023-02-14 02:00,1=15661|2=15834.71|3=15899.75|4=15091.26|5=15063.92|S=0|T=20230214T0700,15761.75,1,314190,-1045,-0.33,150,0.05,-1250,-0.40,-43205,0.00,1
3206,Entry short,2023-02-13 22:00,1=15712.29|2=15932.41|3=15925.06|4=15107.96|5=15078.84|S=0|T=20230214T0300,15709.5,1,314190,-1045,-0.33,150,0.05,-1250,-0.40,-43205,0.00,1
3207,Exit long,2023-02-14 06:00,1=15687.14|2=15847.31|3=15930.28|4=15125.26|5=15095.58|S=0|T=20230214T1100,15764,1,315235,45,0.01,2075,0.66,-3855,-1.22,-43160,0.00,1
3207,Entry long,2023-02-14 02:00,1=15661|2=15834.71|3=15899.75|4=15091.26|5=15063.92|S=0|T=20230214T0700,15761.75,1,315235,45,0.01,2075,0.66,-3855,-1.22,-43160,0.00,1
3208,Exit short,2023-02-14 10:00,1=15675.51|2=15831.36|3=15936.52|4=15134.55|5=15102.65|S=0|T=20230214T1500,15761.75,1,315280,45,0.01,3360,1.07,-1760,-0.56,-43115,0.00,1
3208,Entry short,2023-02-14 06:00,1=15687.14|2=15847.31|3=15930.28|4=15125.26|5=15095.58|S=0|T=20230214T1100,15764,1,315280,45,0.01,3360,1.07,-1760,-0.56,-43115,0.00,1
3209,Exit long,2023-02-14 14:00,1=15666.13|2=15815.04|3=15941.82|4=15133.11|5=15108.76|S=0|T=20230214T1900,15796.5,1,315235,695,0.22,1645,0.52,-955,-0.30,-42420,0.00,1
3209,Entry long,2023-02-14 10:00,1=15675.51|2=15831.36|3=15936.52|4=15134.55|5=15102.65|S=0|T=20230214T1500,15761.75,1,315235,695,0.22,1645,0.52,-955,-0.30,-42420,0.00,1
3210,Exit short,2023-02-14 18:00,1=15679.61|2=15802.21|3=15955.09|4=15149.59|5=15122.88|S=0|T=20230214T2300,15727,1,315930,1390,0.44,1435,0.45,-115,-0.04,-41030,0.00,1
3210,Entry short,2023-02-14 14:00,1=15666.13|2=15815.04|3=15941.82|4=15133.11|5=15108.76|S=0|T=20230214T1900,15796.5,1,315930,1390,0.44,1435,0.45,-115,-0.04,-41030,0.00,1
3211,Exit long,2023-02-14 22:00,1=15666.14|2=15790.57|3=15957.4|4=15153.13|5=15125.15|S=0|T=20230215T0300,15720.25,1,314540,-135,-0.04,480,0.15,-345,-0.11,-41165,0.00,1
3211,Entry long,2023-02-14 18:00,1=15679.61|2=15802.21|3=15955.09|4=15149.59|5=15122.88|S=0|T=20230214T2300,15727,1,314540,-135,-0.04,480,0.15,-345,-0.11,-41165,0.00,1
3212,Exit short,2023-02-15 02:00,1=15630.29|2=15767.65|3=15955.1|4=15155.77|5=15124.23|S=0|T=20230215T0700,15757.5,1,314405,-745,-0.24,180,0.06,-1020,-0.32,-41910,0.00,1
3212,Entry short,2023-02-14 22:00,1=15666.14|2=15790.57|3=15957.4|4=15153.13|5=15125.15|S=0|T=20230215T0300,15720.25,1,314405,-745,-0.24,180,0.06,-1020,-0.32,-41910,0.00,1
3213,Exit long,2023-02-15 06:00,1=15601.89|2=15772.79|3=15971.39|4=15173.24|5=15136.6|S=0|T=20230215T1100,15742.25,1,315150,-305,-0.10,1050,0.33,-895,-0.28,-42215,0.00,1
3213,Entry long,2023-02-15 02:00,1=15630.29|2=15767.65|3=15955.1|4=15155.77|5=15124.23|S=0|T=20230215T0700,15757.5,1,315150,-305,-0.10,1050,0.33,-895,-0.28,-42215,0.00,1
