Date and time,Type,Signal
2026-05-12 23:45:00,Exit long,1=29507.52|2=29413.85|3=29359.36|4=29679.42|5=29857.02|S=29541.75|T=20260513T0345
2026-05-12 23:30:00,Entry long,1=29477.26|2=29381.63|3=29345.49|4=29671.26|5=29848.43|S=29555.5|T=20260513T0330
2026-05-13 00:00:00,Exit short,1=29475.58|2=29388.43|3=29331.49|4=29655.74|5=29835.37|S=29555.25|T=20260513T0400
2026-05-12 23:45:00,Entry short,1=29507.52|2=29413.85|3=29359.36|4=29679.42|5=29857.02|S=29541.75|T=20260513T0345
2026-05-13 00:15:00,Exit long,1=29503.54|2=29406.83|3=29350.63|4=29671.27|5=29851.55|S=29569.5|T=20260513T0415
2026-05-13 00:00:00,Entry long,1=29475.58|2=29388.43|3=29331.49|4=29655.74|5=29835.37|S=29555.25|T=20260513T0400
2026-05-13 00:30:00,Exit short,1=29511.86|2=29429.45|3=29351.85|4=29671.28|5=29852.36|S=29571.25|T=20260513T0430
2026-05-13 00:15:00,Entry short,1=29503.54|2=29406.83|3=29350.63|4=29671.27|5=29851.55|S=29569.5|T=20260513T0415
2026-05-13 00:45:00,Exit long,1=29517.25|2=29435.86|3=29348.87|4=29668.3|5=29850.02|S=29580.25|T=20260513T0445
2026-05-13 00:30:00,Entry long,1=29511.86|2=29429.45|3=29351.85|4=29671.28|5=29852.36|S=29571.25|T=20260513T0430
2026-05-13 01:00:00,Exit short,1=29448.8|2=29436.99|3=29332.16|4=29653.12|5=29836.84|S=29587.75|T=20260513T0500
2026-05-13 00:45:00,Entry short,1=29517.25|2=29435.86|3=29348.87|4=29668.3|5=29850.02|S=29580.25|T=20260513T0445
2026-05-13 01:15:00,Exit long,1=29467.71|2=29466.19|3=29350.4|4=29668.63|5=29852.92|S=29590.75|T=20260513T0515
2026-05-13 01:00:00,Entry long,1=29448.8|2=29436.99|3=29332.16|4=29653.12|5=29836.84|S=29587.75|T=20260513T0500
2026-05-13 01:30:00,Exit short,1=29508.24|2=29499.86|3=29358.45|4=29671.74|5=29856.67|S=29585|T=20260513T0530
2026-05-13 01:15:00,Entry short,1=29467.71|2=29466.19|3=29350.4|4=29668.63|5=29852.92|S=29590.75|T=20260513T0515
2026-05-13 01:45:00,Exit long,1=29514.47|2=29523.74|3=29357|4=29667.22|5=29853.12|S=29589.75|T=20260513T0545
2026-05-13 01:30:00,Entry long,1=29508.24|2=29499.86|3=29358.45|4=29671.74|5=29856.67|S=29585|T=20260513T0530
2026-05-13 02:00:00,Exit short,1=29513.7|2=29542.09|3=29354.41|4=29663.64|5=29849.45|S=29615.5|T=20260513T0600
2026-05-13 01:45:00,Entry short,1=29514.47|2=29523.74|3=29357|4=29667.22|5=29853.12|S=29589.75|T=20260513T0545
2026-05-13 02:15:00,Exit long,1=29542.48|2=29553.12|3=29368.86|4=29672.01|5=29858.59|S=29608.5|T=20260513T0615
2026-05-13 02:00:00,Entry long,1=29513.7|2=29542.09|3=29354.41|4=29663.64|5=29849.45|S=29615.5|T=20260513T0600
2026-05-13 02:30:00,Exit short,1=29556.4|2=29594.17|3=29372.96|4=29670.68|5=29858.01|S=29606.5|T=20260513T0630
2026-05-13 02:15:00,Entry short,1=29542.48|2=29553.12|3=29368.86|4=29672.01|5=29858.59|S=29608.5|T=20260513T0615
2026-05-13 02:45:00,Exit long,1=29568.95|2=29591.11|3=29377.19|4=29670.6|5=29858.49|S=29601.75|T=20260513T0645
2026-05-13 02:30:00,Entry long,1=29556.4|2=29594.17|3=29372.96|4=29670.68|5=29858.01|S=29606.5|T=20260513T0630
2026-05-13 03:00:00,Exit short,1=29584.71|2=29599.19|3=29380.14|4=29669.49|5=29857.8|S=29603|T=20260513T0700
2026-05-13 02:45:00,Entry short,1=29568.95|2=29591.11|3=29377.19|4=29670.6|5=29858.49|S=29601.75|T=20260513T0645
2026-05-13 03:15:00,Exit long,1=29600.13|2=29617.31|3=29343.4|4=29670.33|5=29859.03|S=29609.25|T=20260513T0715
2026-05-13 03:00:00,Entry long,1=29584.71|2=29599.19|3=29380.14|4=29669.49|5=29857.8|S=29603|T=20260513T0700
2026-05-13 03:30:00,Exit short,1=29599.93|2=29609.98|3=29342.35|4=29665.39|5=29854.37|S=29648.25|T=20260513T0730
2026-05-13 03:15:00,Entry short,1=29600.13|2=29617.31|3=29343.4|4=29670.33|5=29859.03|S=29609.25|T=20260513T0715
2026-05-13 03:45:00,Exit long,1=29623.59|2=29619.64|3=29354.91|4=29672.2|5=29861.37|S=29663|T=20260513T0745
2026-05-13 03:30:00,Entry long,1=29599.93|2=29609.98|3=29342.35|4=29665.39|5=29854.37|S=29648.25|T=20260513T0730
2026-05-13 04:00:00,Exit short,1=29638.57|2=29624.43|3=29357.98|4=29672.53|5=29861.38|S=29716|T=20260513T0800
2026-05-13 03:45:00,Entry short,1=29623.59|2=29619.64|3=29354.91|4=29672.2|5=29861.37|S=29663|T=20260513T0745
2026-05-13 04:15:00,Exit long,1=29650.86|2=29631.7|3=29364.05|4=29673.6|5=29862.2|S=29729|T=20260513T0815
2026-05-13 04:00:00,Entry long,1=29638.57|2=29624.43|3=29357.98|4=29672.53|5=29861.38|S=29716|T=20260513T0800
2026-05-13 04:30:00,Exit short,1=29674.09|2=29647.94|3=29376.53|4=29679.06|5=29867.26|S=29727.75|T=20260513T0830
2026-05-13 04:15:00,Entry short,1=29650.86|2=29631.7|3=29364.05|4=29673.6|5=29862.2|S=29729|T=20260513T0815
2026-05-13 04:45:00,Exit long,1=29692.02|2=29646.92|3=29384.92|4=29680.64|5=29868.46|S=29705.5|T=20260513T0845
2026-05-13 04:30:00,Entry long,1=29674.09|2=29647.94|3=29376.53|4=29679.06|5=29867.26|S=29727.75|T=20260513T0830
2026-05-13 05:00:00,Exit short,1=29707.45|2=29656.37|3=29390.4|4=29681.17|5=29868.69|S=29672.75|T=20260513T0900
2026-05-13 04:45:00,Entry short,1=29692.02|2=29646.92|3=29384.92|4=29680.64|5=29868.46|S=29705.5|T=20260513T0845
2026-05-13 05:15:00,Exit long,1=29711.48|2=29668.1|3=29406.74|4=29678.09|5=29865.29|S=29680.75|T=20260513T0915
2026-05-13 05:00:00,Entry long,1=29707.45|2=29656.37|3=29390.4|4=29681.17|5=29868.69|S=29672.75|T=20260513T0900
2026-05-13 05:30:00,Exit short,1=29701.51|2=29669.93|3=29408.35|4=29677.51|5=29863.8|S=29706.75|T=20260513T0930
