Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
523,Entry long,2026-01-07 14:00,B=0|T=20260107T1900,26344,1,526880,2855,0.54,3235,0.61,-5335,-1.01,206705,0.21,17
524,Exit long,2026-01-12 14:00,X,26450.5,1,529735,-725,-0.14,840,0.16,-915,-0.17,205980,0.21,1
524,Entry long,2026-01-12 10:00,B=1|T=20260112T1500,26486.75,1,529735,-725,-0.14,840,0.16,-915,-0.17,205980,0.21,1
525,Exit long,2026-01-22 02:00,X,26196.5,1,529010,-5080,-0.96,2065,0.39,-18345,-3.47,200900,0.20,44
525,Entry long,2026-01-12 14:00,B=0|T=20260112T1900,26450.5,1,529010,-5080,-0.96,2065,0.39,-18345,-3.47,200900,0.20,44
526,Exit long,2026-01-29 18:00,X,26351.25,1,523930,3095,0.59,13215,2.52,-6460,-1.23,203995,0.20,34
526,Entry long,2026-01-22 02:00,B=1|T=20260122T0700,26196.5,1,523930,3095,0.59,13215,2.52,-6460,-1.23,203995,0.20,34
527,Exit long,2026-02-02 10:00,X,26450,1,527025,1975,0.37,2130,0.40,-13255,-2.52,205970,0.21,10
527,Entry long,2026-01-29 18:00,B=0|T=20260129T2300,26351.25,1,527025,1975,0.37,2130,0.40,-13255,-2.52,205970,0.21,10
528,Exit long,2026-02-03 06:00,X,26141.25,1,529000,-6175,-1.17,1720,0.33,-6370,-1.20,199795,0.20,5
528,Entry long,2026-02-02 10:00,B=1|T=20260202T1500,26450,1,529000,-6175,-1.17,1720,0.33,-6370,-1.20,199795,0.20,5
529,Exit long,2026-02-11 22:00,X,25828,1,522825,-6265,-1.20,275,0.05,-27865,-5.33,193530,0.19,40
529,Entry long,2026-02-03 06:00,B=0|T=20260203T1100,26141.25,1,522825,-6265,-1.20,275,0.05,-27865,-5.33,193530,0.19,40
530,Exit long,2026-02-12 10:00,X,25413.75,1,516560,-8285,-1.60,2000,0.39,-10390,-2.01,185245,0.19,3
