Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
21,Exit long,2021-02-04 21:00,X,16961,1,337455,1765,0.52,2110,0.63,-2855,-0.85,16585,0.02,30
21,Entry long,2021-02-03 13:00,B=0|T=20210203T1800,16872.75,1,337455,1765,0.52,2110,0.63,-2855,-0.85,16585,0.02,30
22,Exit long,2021-02-05 09:00,X,16923.5,1,339220,-750,-0.22,850,0.25,-820,-0.24,15835,0.02,12
22,Entry long,2021-02-04 21:00,B=1|T=20210205T0200,16961,1,339220,-750,-0.22,850,0.25,-820,-0.24,15835,0.02,12
23,Exit long,2021-02-05 12:00,X,17015.75,1,338470,1845,0.55,1870,0.55,-385,-0.11,17680,0.02,3
23,Entry long,2021-02-05 09:00,B=0|T=20210205T1400,16923.5,1,338470,1845,0.55,1870,0.55,-385,-0.11,17680,0.02,3
24,Exit long,2021-02-08 11:00,X,17015.25,1,340315,-10,0.00,1240,0.36,-1250,-0.37,17670,0.02,22
24,Entry long,2021-02-05 12:00,B=1|T=20210205T1700,17015.75,1,340315,-10,0.00,1240,0.36,-1250,-0.37,17670,0.02,22
25,Exit long,2021-02-08 15:00,X,17069.5,1,340305,1085,0.32,1115,0.33,-275,-0.08,18755,0.02,4
25,Entry long,2021-02-08 11:00,B=0|T=20210208T1600,17015.25,1,340305,1085,0.32,1115,0.33,-275,-0.08,18755,0.02,4
26,Exit long,2021-02-08 19:00,X,17054.5,1,341390,-300,-0.09,265,0.08,-555,-0.16,18455,0.02,3
26,Entry long,2021-02-08 15:00,B=1|T=20210208T2000,17069.5,1,341390,-300,-0.09,265,0.08,-555,-0.16,18455,0.02,3
27,Exit long,2021-02-09 20:00,X,17107.5,1,341090,1060,0.31,1310,0.38,-715,-0.21,19515,0.02,24
27,Entry long,2021-02-08 19:00,B=0|T=20210209T0000,17054.5,1,341090,1060,0.31,1310,0.38,-715,-0.21,19515,0.02,24
28,Exit long,2021-02-10 06:00,X,17108.25,1,342150,15,0.00,930,0.27,-50,-0.01,19530,0.02,10
28,Entry long,2021-02-09 20:00,B=1|T=20210210T0100,17107.5,1,342150,15,0.00,930,0.27,-50,-0.01,19530,0.02,10
29,Exit long,2021-02-10 08:00,X,17128.5,1,342165,405,0.12,565,0.17,-195,-0.06,19935,0.02,2
