Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
4637,Entry long,2024-01-18 10:00,P1=NaN|P5=NaN|PH=19339.29|PD=19194.82|PW=NaN|PM=NaN|T=20240118T1100,19485,1,389700,-220,-0.06,1495,0.38,-1700,-0.44,-20250,-0.02,1
4638,Exit short,2024-01-18 18:00,P1=NaN|P5=NaN|PH=19408.74|PD=19194.82|PW=NaN|PM=NaN|T=20240118T1900,19573.5,1,389480,-1990,-0.51,5,0.00,-2185,-0.56,-22240,-0.02,1
4638,Entry short,2024-01-18 14:00,P1=NaN|P5=NaN|PH=19374.65|PD=19194.82|PW=NaN|PM=NaN|T=20240118T1500,19474,1,389480,-1990,-0.51,5,0.00,-2185,-0.56,-22240,-0.02,1
4639,Exit long,2024-01-18 22:00,P1=NaN|P5=NaN|PH=19443.61|PD=19244.9|PW=NaN|PM=NaN|T=20240118T2300,19626.75,1,391470,1065,0.27,1120,0.29,-175,-0.04,-21175,-0.02,1
4639,Entry long,2024-01-18 18:00,P1=NaN|P5=NaN|PH=19408.74|PD=19194.82|PW=NaN|PM=NaN|T=20240118T1900,19573.5,1,391470,1065,0.27,1120,0.29,-175,-0.04,-21175,-0.02,1
4640,Exit short,2024-01-19 02:00,P1=NaN|P5=NaN|PH=19489.28|PD=19244.9|PW=NaN|PM=NaN|T=20240119T0300,19621.25,1,392535,110,0.03,430,0.11,-185,-0.05,-21065,-0.02,1
4640,Entry short,2024-01-18 22:00,P1=NaN|P5=NaN|PH=19443.61|PD=19244.9|PW=NaN|PM=NaN|T=20240118T2300,19626.75,1,392535,110,0.03,430,0.11,-185,-0.05,-21065,-0.02,1
4641,Exit long,2024-01-19 06:00,P1=NaN|P5=NaN|PH=19524.13|PD=19244.9|PW=NaN|PM=NaN|T=20240119T0700,19693,1,392425,1435,0.37,1620,0.41,-230,-0.06,-19630,-0.02,1
4641,Entry long,2024-01-19 02:00,P1=NaN|P5=NaN|PH=19489.28|PD=19244.9|PW=NaN|PM=NaN|T=20240119T0300,19621.25,1,392425,1435,0.37,1620,0.41,-230,-0.06,-19630,-0.02,1
4642,Exit short,2024-01-19 10:00,P1=NaN|P5=NaN|PH=19566.24|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1100,19667.5,1,393860,510,0.13,1385,0.35,-395,-0.10,-19120,-0.02,1
4642,Entry short,2024-01-19 06:00,P1=NaN|P5=NaN|PH=19524.13|PD=19244.9|PW=NaN|PM=NaN|T=20240119T0700,19693,1,393860,510,0.13,1385,0.35,-395,-0.10,-19120,-0.02,1
4643,Exit long,2024-01-19 14:00,P1=NaN|P5=NaN|PH=19595.5|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1500,19853,1,393350,3710,0.94,3710,0.94,-820,-0.21,-15410,-0.02,1
4643,Entry long,2024-01-19 10:00,P1=NaN|P5=NaN|PH=19566.24|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1100,19667.5,1,393350,3710,0.94,3710,0.94,-820,-0.21,-15410,-0.02,1
4644,Exit short,2024-01-21 18:00,P1=NaN|P5=NaN|PH=19652.18|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1900,19923.5,1,397060,-1410,-0.36,200,0.05,-1515,-0.38,-16820,-0.02,1
4644,Entry short,2024-01-19 14:00,P1=NaN|P5=NaN|PH=19595.5|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1500,19853,1,397060,-1410,-0.36,200,0.05,-1515,-0.38,-16820,-0.02,1
4645,Exit long,2024-01-21 22:00,P1=NaN|P5=NaN|PH=19705.89|PD=19292.84|PW=NaN|PM=NaN|T=20240121T2300,20007.5,1,398470,1680,0.42,2060,0.52,0,0.00,-15140,-0.02,1
4645,Entry long,2024-01-21 18:00,P1=NaN|P5=NaN|PH=19652.18|PD=19244.9|PW=NaN|PM=NaN|T=20240119T1900,19923.5,1,398470,1680,0.42,2060,0.52,0,0.00,-15140,-0.02,1
4646,Exit short,2024-01-22 02:00,P1=NaN|P5=NaN|PH=19783.26|PD=19292.84|PW=NaN|PM=NaN|T=20240122T0300,20000.5,1,400150,140,0.03,400,0.10,-105,-0.03,-15000,-0.01,1
4646,Entry short,2024-01-21 22:00,P1=NaN|P5=NaN|PH=19705.89|PD=19292.84|PW=NaN|PM=NaN|T=20240121T2300,20007.5,1,400150,140,0.03,400,0.10,-105,-0.03,-15000,-0.01,1
4647,Exit long,2024-01-22 06:00,P1=NaN|P5=NaN|PH=19838.73|PD=19292.84|PW=NaN|PM=NaN|T=20240122T0700,19993.25,1,400010,-145,-0.04,345,0.09,-490,-0.12,-15145,-0.02,1
4647,Entry long,2024-01-22 02:00,P1=NaN|P5=NaN|PH=19783.26|PD=19292.84|PW=NaN|PM=NaN|T=20240122T0300,20000.5,1,400010,-145,-0.04,345,0.09,-490,-0.12,-15145,-0.02,1
4648,Exit short,2024-01-22 10:00,P1=NaN|P5=NaN|PH=19878.76|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1100,19998,1,399865,-95,-0.02,875,0.22,-985,-0.25,-15240,-0.02,1
4648,Entry short,2024-01-22 06:00,P1=NaN|P5=NaN|PH=19838.73|PD=19292.84|PW=NaN|PM=NaN|T=20240122T0700,19993.25,1,399865,-95,-0.02,875,0.22,-985,-0.25,-15240,-0.02,1
4649,Exit long,2024-01-22 14:00,P1=NaN|P5=NaN|PH=19903.74|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1500,19937,1,399960,-1220,-0.31,225,0.06,-2130,-0.53,-16460,-0.02,1
4649,Entry long,2024-01-22 10:00,P1=NaN|P5=NaN|PH=19878.76|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1100,19998,1,399960,-1220,-0.31,225,0.06,-2130,-0.53,-16460,-0.02,1
4650,Exit short,2024-01-22 18:00,P1=NaN|P5=NaN|PH=19913.56|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1900,19918.5,1,398740,370,0.09,750,0.19,-210,-0.05,-16090,-0.02,1
4650,Entry short,2024-01-22 14:00,P1=NaN|P5=NaN|PH=19903.74|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1500,19937,1,398740,370,0.09,750,0.19,-210,-0.05,-16090,-0.02,1
4651,Exit long,2024-01-22 22:00,P1=NaN|P5=NaN|PH=19914.41|PD=19342.55|PW=NaN|PM=NaN|T=20240122T2300,19927.75,1,398370,185,0.05,535,0.13,-220,-0.06,-15905,-0.02,1
4651,Entry long,2024-01-22 18:00,P1=NaN|P5=NaN|PH=19913.56|PD=19292.84|PW=NaN|PM=NaN|T=20240122T1900,19918.5,1,398370,185,0.05,535,0.13,-220,-0.06,-15905,-0.02,1
