trade_date,year,dow,month,tdom,tdom_rev,atr14_prior,opex_week,opex_friday,quarter_opex,half_day,pre_holiday,post_holiday,fomc_proxy,spike1400,spike0830,seg_rth_full,seg_am1_0930_1030,seg_am2_0930_1100,seg_open15,seg_mid_1100_1400,seg_pm_1400_1600,seg_lasthr_1500_1600,seg_pre30_1500_1530,seg_close30_1530_1600,seg_pre15_1545_1600,seg_fomc30_1400_1430,seg_fomc60_1400_1500,seg_on_sess_1800_0930,seg_rel830_0830_0930,seg_half_0930_1300,seg_gap
2020-12-28,2020,0,12,1,-4,,False,False,False,False,False,False,False,0.38337093975183595,0.18765155897439825,18.799999999999272,-34.400000000001455,0.2999999999992724,-10.400000000001455,30.700000000000728,-12.200000000000728,-21.5,-4.5,-17.0,-13.799999999999272,7.0,9.299999999999272,124.70000000000073,0.0,28.599999999998545,
2020-12-29,2020,1,12,2,-3,,False,False,False,False,False,False,False,0.6305931702201601,0.09844101526061323,-54.29999999999927,-41.29999999999927,-13.599999999998545,14.700000000000728,-23.700000000000728,-17.0,-3.7000000000007276,9.599999999998545,-13.299999999999272,-14.0,-23.700000000000728,-13.299999999999272,51.29999999999927,7.599999999998545,-52.0,58.0
2020-12-30,2020,2,12,3,-2,,False,False,False,False,False,False,True,0.6099432184308881,0.26195331630138957,-56.5,-31.0,-46.79999999999927,-37.20000000000073,19.0,-28.700000000000728,-7.5,-8.0,0.5,-7.5,-9.0,-21.200000000000728,34.20000000000073,-4.0,-35.20000000000073,50.25
2020-12-31,2020,3,12,4,-1,,False,False,False,False,True,False,False,1.094390770949624,0.234415800937975,46.70000000000073,2.7000000000007276,3.7000000000007276,2.0,-38.29999999999927,81.29999999999927,43.70000000000073,-7.0,50.70000000000073,45.5,23.799999999999272,37.599999999998545,0.0,-5.400000000001455,-21.0,-1.25
2021-01-04,2021,0,1,1,-20,,False,False,False,False,False,True,False,0.6525224894641447,0.06736275589062726,-223.70000000000073,-34.0,-137.0,-15.400000000001455,-104.70000000000073,18.0,28.5,-24.200000000000728,52.70000000000073,5.700000000000728,-32.5,-10.5,21.0,-26.799999999999272,-322.0,64.0
2021-01-05,2021,1,1,2,-19,,False,False,False,False,False,False,False,1.157740352723517,0.4141492455433739,126.0,65.79999999999927,49.20000000000073,70.20000000000073,47.79999999999927,29.0,18.799999999999272,-21.400000000001455,40.20000000000073,18.0,26.200000000000728,10.200000000000728,-11.0,32.79999999999927,61.5,-37.0
2021-01-06,2021,2,1,3,-18,,False,False,False,False,False,False,False,0.498930806424261,0.2693871473419062,-15.799999999999272,91.40000000000146,111.20000000000073,-7.299999999999272,48.5,-175.5,-60.5,-5.299999999999272,-55.20000000000073,-33.20000000000073,-73.29999999999927,-115.0,-175.20000000000073,-10.700000000000728,151.0,-193.25
2021-01-07,2021,3,1,4,-17,,False,False,False,False,False,False,False,0.6756373115164498,0.2123791027634576,190.79999999999927,142.20000000000073,164.5,58.20000000000073,16.0,10.299999999999272,4.599999999998545,24.799999999999272,-20.200000000000728,-19.0,-8.299999999999272,5.700000000000728,74.5,13.0,161.79999999999927,109.5
2021-01-08,2021,4,1,5,-16,,False,False,False,False,False,False,False,1.1649974999628707,0.5411813046728418,93.29999999999927,-39.5,11.299999999999272,14.700000000000728,-22.799999999999272,104.79999999999927,66.0,7.200000000000728,58.79999999999927,29.0,19.0,38.79999999999927,91.0,30.5,9.299999999999272,93.5
2021-01-11,2021,0,1,6,-15,,False,False,False,False,False,False,False,0.8605500306220655,0.4447198810114031,-40.5,36.70000000000073,19.5,-32.70000000000073,-25.0,-35.0,-19.200000000000728,-50.0,30.799999999999272,18.799999999999272,-32.20000000000073,-15.799999999999272,-129.5,-39.5,46.29999999999927,-127.75
