date,n_bars,day_range,absmove_5m,absmove_15m,absmove_30m,absmove_60m,absmove_30m_rth
2021-04-09,1005,191.59999999999854,4.3,7.55,11.2,11.85,8.5
2021-04-11,360,64.40000000000146,2.8,4.6,8.5,12.0,
2021-04-12,1365,101.79999999999927,3.0,5.8,7.0,7.35,9.75
2021-04-13,1365,221.20000000000073,3.0,4.8,6.2,11.7,7.95
2021-04-14,1365,256.2000000000007,2.7,5.5,9.0,10.4,24.25
2021-04-15,1365,226.20000000000073,3.0,4.2,8.3,15.75,10.1
2021-04-16,1005,105.70000000000073,3.7,5.35,6.6,14.85,10.7
2021-04-18,360,79.0,2.4,4.3,9.5,3.5,
2021-04-19,1365,228.79999999999927,2.7,5.75,6.7,10.7,13.95
2021-04-20,1365,224.0,4.25,7.25,11.0,13.35,25.5
2021-04-21,1365,226.0,3.35,5.35,8.0,8.4,16.0
2021-04-22,1365,243.0,3.0,5.15,6.0,9.4,22.05
2021-04-23,1005,244.0,3.55,5.9,6.3,7.75,8.5
2021-04-25,360,39.20000000000073,1.6,3.7,4.3,10.0,
2021-04-26,1365,173.70000000000073,2.2,4.1,4.8,9.2,12.0
2021-04-27,1365,137.5,2.2,3.5,5.2,6.2,9.35
2021-04-28,1365,153.0,2.8,4.35,9.5,15.9,22.15
2021-04-29,1365,245.5,3.0,5.1,7.0,9.8,24.6
2021-04-30,1005,137.0,4.4,6.9,12.0,18.65,26.25
2021-05-02,360,35.5,1.7,2.8,3.0,2.3,
2021-05-03,1365,224.5,3.0,5.35,8.0,14.5,22.9
2021-05-04,1365,396.7000000000007,3.5,7.0,9.0,17.4,22.4
2021-05-05,1364,214.5,3.9,8.6,10.2,13.85,18.5
2021-05-06,1365,272.2000000000007,4.3,7.9,15.0,12.65,32.6
2021-05-07,1005,229.79999999999927,4.25,8.3,9.3,16.65,28.35
2021-05-09,360,41.0,1.4,1.6,2.2,2.7,
2021-05-10,1365,565.0,4.75,9.65,13.2,20.25,14.95
2021-05-11,1365,310.59999999999854,6.6,11.6,14.0,24.25,19.85
2021-05-12,1365,378.2000000000007,7.3,14.5,13.6,16.65,18.4
2021-05-13,1365,308.7999999999993,6.0,12.2,17.2,20.5,27.5
2021-05-14,1005,263.2000000000007,4.1,8.25,8.0,19.15,15.55
2021-05-16,360,108.29999999999927,5.3,10.4,15.5,13.8,
2021-05-17,1364,215.40000000000146,4.0,8.7,10.0,14.7,20.5
2021-05-18,1365,294.7000000000007,4.25,7.2,13.6,24.7,24.35
2021-05-19,1365,288.7999999999993,6.3,10.6,15.2,26.1,31.5
2021-05-20,1365,396.40000000000146,4.0,8.5,14.6,17.6,15.3
2021-05-21,1005,174.20000000000073,4.0,7.15,8.5,9.0,10.8
2021-05-23,360,90.29999999999927,3.0,7.3,10.7,18.7,
2021-05-24,1365,290.2000000000007,2.7,5.0,10.7,19.6,10.9
2021-05-25,1365,132.0,3.3,4.8,8.0,14.65,10.2
2021-05-26,1365,72.5,3.0,5.1,7.2,8.35,9.4
2021-05-27,1365,100.59999999999854,2.65,4.9,7.3,14.05,10.0
2021-05-28,1005,100.70000000000073,2.55,4.1,9.3,14.4,14.35
2021-05-30,357,29.299999999999272,1.7,2.8,3.3,4.0,
2021-05-31,1139,60.5,1.6,2.7,5.6,7.15,
2021-06-01,1365,180.79999999999927,2.7,5.65,7.0,8.15,16.85
2021-06-02,1364,109.59999999999854,2.5,4.6,6.2,7.8,10.65
2021-06-03,1365,235.0,3.3,6.0,10.4,16.9,14.25
2021-06-04,1005,291.2999999999993,3.7,7.1,10.0,12.0,11.25
2021-06-06,360,51.79999999999927,2.0,3.6,5.2,10.3,
2021-06-07,1365,174.0,2.9,4.6,6.7,12.35,11.95
2021-06-08,1365,175.40000000000146,3.2,5.65,7.7,15.4,12.5
2021-06-09,1365,95.70000000000073,2.4,4.0,5.0,6.0,6.65
2021-06-10,1364,261.0,2.5,5.3,8.7,10.8,19.15
2021-06-11,1005,65.59999999999854,2.5,5.1,6.7,6.95,11.9
2021-06-13,360,30.0,1.0,1.3,2.7,1.7,
2021-06-14,1363,198.20000000000073,2.0,4.0,5.2,12.4,8.95
2021-06-15,1364,153.40000000000146,2.4,3.85,4.0,7.7,8.55
2021-06-16,1365,265.59999999999854,3.45,5.6,10.2,13.2,19.0
2021-06-17,1365,334.5,3.7,5.6,10.0,9.9,36.7
2021-06-18,1005,194.79999999999927,4.3,7.1,9.0,8.75,15.0
2021-06-20,360,63.400000000001455,3.5,4.5,7.0,6.7,
2021-06-21,1365,195.5,3.45,4.8,6.2,8.65,10.9
2021-06-22,1365,234.70000000000073,2.75,4.9,7.3,13.9,12.15
2021-06-23,1364,84.0,2.3,4.1,6.5,10.75,14.3
2021-06-24,1365,127.20000000000073,2.65,3.75,5.2,4.7,12.75
2021-06-25,1005,81.0,2.8,4.2,7.7,11.05,13.65
2021-06-27,360,33.599999999998545,1.7,4.0,4.7,7.7,
2021-06-28,1380,170.79999999999927,2.0,3.5,5.3,6.3,13.95
2021-06-29,1380,129.70000000000073,2.3,3.8,6.7,5.0,8.25
2021-06-30,1380,72.59999999999854,2.0,3.0,5.3,6.75,9.25
2021-07-01,1380,135.20000000000073,2.0,4.0,6.0,10.9,6.8
2021-07-02,1020,215.79999999999927,2.3,4.8,5.2,19.6,6.35
