date,pnl
2021-04-09,520.0
2021-04-13,420.0
2021-04-14,-545.0
2021-04-15,-295.0
2021-04-19,435.0
2021-04-20,-865.0
2021-04-21,330.0
2021-04-22,505.0
2021-04-23,35.0
2021-04-26,-560.0
2021-04-27,-150.0
2021-04-29,415.0
2021-05-03,280.0
2021-05-04,135.0
2021-05-05,1250.0
2021-05-10,-270.0
2021-05-11,570.0
2021-05-12,555.0
2021-05-14,-290.0
2021-05-19,1235.0
2021-05-20,285.0
2021-05-21,-145.0
2021-05-24,-205.0
2021-06-04,-165.0
2021-06-10,-235.0
2021-06-14,205.0
2021-06-15,110.0
2021-06-16,-1620.0
2021-06-17,375.0
2021-06-21,-370.0
2021-06-22,715.0
2021-06-28,90.0
2021-07-02,300.0
2021-07-07,265.0
2021-07-08,-325.0
2021-07-09,-155.0
2021-07-13,-565.0
2021-07-15,125.0
2021-07-16,370.0
2021-07-20,415.0
2021-07-21,105.0
2021-07-22,55.0
2021-07-23,-165.0
2021-07-27,175.0
2021-07-29,-410.0
2021-07-30,-105.0
2021-08-10,40.0
2021-08-11,-145.0
2021-08-12,110.0
2021-08-19,700.0
2021-08-20,345.0
2021-08-23,-270.0
2021-08-27,45.0
2021-08-30,-140.0
2021-09-02,245.0
2021-09-03,-15.0
2021-09-08,-50.0
2021-09-10,1175.0
2021-09-13,-910.0
2021-09-14,620.0
2021-09-15,420.0
2021-09-16,45.0
2021-09-17,180.0
2021-09-20,-760.0
2021-09-23,-240.0
2021-09-24,65.0
2021-09-28,720.0
2021-10-04,830.0
2021-10-05,-550.0
2021-10-06,240.0
2021-10-12,35.0
2021-10-14,-180.0
2021-10-18,255.0
2021-10-21,560.0
2021-10-22,175.0
2021-10-25,-75.0
2021-10-27,-830.0
2021-10-28,-65.0
2021-10-29,-35.0
2021-11-02,80.0
2021-11-03,260.0
2021-11-04,15.0
2021-11-09,385.0
2021-11-10,-1085.0
2021-11-11,190.0
2021-11-12,455.0
2021-11-15,-460.0
2021-11-16,-140.0
2021-11-22,410.0
2021-11-23,30.0
2021-11-24,540.0
2021-11-29,185.0
2021-11-30,515.0
2021-12-01,3135.0
2021-12-02,-225.0
2021-12-03,-770.0
2021-12-06,330.0
2021-12-07,-610.0
2021-12-09,665.0
2021-12-13,810.0
2021-12-16,-1070.0
2021-12-17,-575.0
2021-12-21,-650.0
2021-12-22,50.0
2021-12-23,-460.0
2021-12-27,-85.0
2021-12-28,-110.0
2022-01-04,-1270.0
2022-01-05,1265.0
2022-01-06,-330.0
2022-01-07,475.0
2022-01-11,100.0
2022-01-13,735.0
2022-01-14,1180.0
2022-01-21,890.0
2022-01-25,-3500.0
2022-01-26,1700.0
