sm,n,mean_r,std_r,mabs_r,tstat,mean_2021,mean_2022,mean_2023,mean_2024,mean_2025,mean_2026,et
1,1409,-0.06444286728177251,9.401786542836154,5.150035486160414,-0.2572882571954785,0.5853281853282218,-0.8906976744186018,-0.002713178294661068,-0.549034749034794,0.42373540856034525,0.18135593220337135,18:01
2,1409,-0.40596167494675267,7.971416730139202,4.479914833215046,-1.9116351983168443,-0.2803088803089028,-0.03255813953484706,-0.09496124031002112,0.2679536679537157,-1.6042801556420205,-1.0474576271186935,18:02
3,1410,0.10432624113475332,8.559703697145622,3.999645390070945,0.4576615056201026,0.15521235521237206,-0.6546511627907033,-0.30116279069769136,-0.2084942084942085,1.5403100775193714,0.08559322033903238,18:03
4,1410,-0.1937588652482249,6.584015948703051,3.6692198581560223,-1.1050457648834173,-0.20810810810812777,-0.23565891472865114,-0.34031007751936293,0.5694980694980836,-1.0282945736434503,0.3991525423728999,18:04
5,1410,0.1024113475177341,7.058829378840916,3.9539007092198712,0.5447847629878293,0.13513513513517728,-0.06162790697679213,0.09379844961244822,0.07683397683391222,-0.7224806201549739,2.2677966101694484,18:05
6,1410,0.3168085106382726,5.802627898083391,3.4341134751773064,2.0501312917496746,-0.19536679536683188,0.3232558139534517,0.12751937984488226,0.3988416988417663,0.962790697674382,0.2483050847457257,18:06
7,1410,-0.012482269503557969,5.955243253397182,3.2582978723404312,-0.0787052324133729,-0.027799227799174424,0.2813953488372178,0.07015503875972659,-0.3235521235522331,0.3007751937983735,-0.8042372881355438,18:07
8,1410,0.022340425531940693,5.179137519355359,3.0473049645390207,0.16197334631484986,0.19729729729726359,0.0310077519380409,0.1937984496124454,-0.02857142857136396,-0.1399224806201071,-0.2889830508475378,18:08
9,1410,-0.06439716312056169,5.0029929154222295,3.009078014184407,-0.4833329513636228,0.04015444015437554,0.11550387596896122,-0.2759689922481212,-0.28339768339767496,-0.45697674418595347,1.1144067796612018,18:09
10,1410,0.5402127659574447,5.7991409204918645,3.213404255319124,3.4979269613711783,0.7776061776062254,0.9329457364341678,0.20232558139540807,0.28030888030888873,1.0589147286820464,-0.6644067796611526,18:10
11,1410,-0.17269503546098774,4.543213999582657,2.736950354609959,-1.4273359857838883,0.08030888030883536,0.14302325581388864,-0.37790697674418605,0.06872586872587996,-0.28410852713169554,-1.2559322033897442,18:11
