date,year,prev_close,prev_range,day_open,clow15,chigh15,entry15,clow20,chigh20,entry20,clow30,chigh30,entry30,exit1545,exit1600,rth_high,rth_low
2020-12-29,2020,15800.5,114.75,15858.5,15844.75,15885.0,15868.0,15844.75,15885.0,15868.25,15815.0,15885.0,15826.5,15822.25,15813.5,15885.0,15775.0
2020-12-30,2020,15813.5,110.0,15863.75,15827.0,15876.5,15834.25,15818.25,15876.5,15837.0,15816.5,15876.5,15831.75,15811.75,15809.5,15876.5,15787.25
2020-12-31,2020,15809.5,89.25,15808.25,15790.75,15824.25,15809.25,15790.75,15824.25,15796.5,15789.25,15824.25,15801.0,15812.75,15836.5,15862.75,15763.25
2021-01-04,2021,15836.5,99.5,15900.5,15825.0,15908.0,15857.25,15825.0,15908.0,15872.75,15825.0,15908.0,15846.75,15653.5,15654.75,15908.0,15489.25
2021-01-05,2021,15654.75,418.75,15617.75,15617.0,15719.75,15714.5,15617.0,15720.75,15707.5,15617.0,15735.5,15717.5,15745.75,15758.25,15768.75,15617.0
2021-01-06,2021,15758.25,151.75,15565.0,15518.0,15592.75,15578.75,15518.0,15621.5,15612.0,15518.0,15634.75,15601.5,15604.0,15585.25,15762.75,15518.0
2021-01-07,2021,15585.25,244.75,15694.75,15692.75,15777.75,15771.5,15692.75,15777.75,15750.75,15692.75,15806.5,15805.0,15910.5,15892.25,15925.75,15692.75
2021-01-08,2021,15892.25,233.0,15985.75,15952.5,16018.75,16005.0,15952.5,16018.75,15977.25,15952.5,16018.75,15985.5,16048.5,16058.75,16071.25,15894.0
2021-01-11,2021,16058.75,177.25,15931.0,15859.0,15941.5,15891.5,15859.0,15941.5,15880.0,15859.0,15941.5,15926.25,15862.0,15863.0,15980.75,15838.5
2021-01-12,2021,15863.0,142.25,15869.25,15861.75,15914.75,15888.75,15848.75,15914.75,15853.25,15809.75,15914.75,15857.25,15859.25,15849.25,15914.75,15734.0
2021-01-13,2021,15849.25,180.75,15856.0,15831.25,15883.25,15835.0,15831.25,15883.25,15877.25,15831.25,15912.25,15880.25,15960.5,15934.5,15969.75,15831.25
2021-01-14,2021,15934.5,138.5,15952.5,15938.75,15981.75,15954.5,15935.5,15981.75,15952.5,15935.5,15981.75,15960.0,15901.25,15864.25,15995.5,15847.75
2021-01-15,2021,15864.25,147.75,15856.75,15846.25,15898.0,15869.75,15846.25,15898.0,15883.0,15846.25,15898.0,15867.75,15770.75,15765.5,15898.0,15710.25
2021-01-18,2021,15765.5,187.75,15767.0,15751.0,15773.75,15760.0,15751.0,15773.75,15763.75,15751.0,15780.75,15777.5,15780.75,15780.75,15782.0,15751.0
2021-01-19,2021,15780.75,31.0,15863.25,15855.5,15897.0,15862.75,15840.25,15897.0,15846.5,15827.25,15897.0,15851.25,15963.0,15951.75,15973.25,15816.0
2021-01-20,2021,15951.75,157.25,16103.75,16087.75,16158.5,16150.0,16087.75,16158.5,16153.25,16087.75,16161.75,16131.0,16287.25,16252.25,16293.75,16087.75
2021-01-21,2021,16252.25,206.0,16306.75,16250.0,16310.5,16269.75,16250.0,16310.5,16293.25,16250.0,16310.5,16283.75,16379.25,16364.0,16390.25,16250.0
2021-01-22,2021,16364.0,140.25,16314.5,16294.5,16329.25,16323.5,16294.5,16353.5,16346.5,16294.5,16356.75,16349.75,16359.0,16322.0,16363.75,16289.75
2021-01-25,2021,16322.0,74.0,16464.5,16462.75,16521.25,16514.0,16462.75,16521.25,16489.0,16462.75,16521.25,16505.5,16408.75,16441.25,16521.25,16155.75
2021-01-26,2021,16441.25,365.5,16460.0,16401.0,16476.0,16407.75,16393.5,16476.0,16423.25,16393.5,16476.0,16444.75,16462.25,16451.5,16499.75,16393.5
2021-01-27,2021,16451.5,106.25,16356.25,16185.25,16356.25,16197.75,16164.0,16356.25,16176.0,16138.0,16356.25,16247.75,16035.25,16086.5,16356.25,15987.75
2021-01-28,2021,16086.5,368.5,16122.0,16095.0,16215.5,16204.25,16095.0,16215.5,16157.25,16095.0,16215.5,16155.75,16199.0,16152.5,16360.75,16095.0
2021-01-29,2021,16152.5,265.75,16077.25,15964.75,16102.0,15982.5,15964.75,16102.0,16019.25,15964.75,16102.0,16050.75,15904.5,15880.5,16124.0,15795.75
2021-02-01,2021,15880.5,328.25,16018.25,16014.0,16070.75,16031.0,15966.25,16070.75,15967.25,15937.0,16070.75,15986.0,16220.5,16197.25,16238.25,15937.0
