label,n,wr,pf,pnl,avg,sharpe,maxdd,hold_avg_m,hold_med_m,years_pos,years_n,per_year,pnl_2xslip,pf_2xslip,stop%,tgt%
B15|lim|bv|r1|H120|OVL,39,33.3,0.422,-9146,-234.5,-1.23,-10646,35.4,14.6,0,4,"{2021: (-675, 7), 2022: (-2547, 5), 2023: (-3435, 19), 2024: (-2488, 8)}",-9416,0.414,64.1,25.6
B15|lim|bv|r2|H120|OVL,39,28.2,0.446,-9408,-241.2,-1.1,-10854,47.6,33.0,0,4,"{2021: (-374, 7), 2022: (-3712, 5), 2023: (-2251, 19), 2024: (-3071, 8)}",-9718,0.437,69.2,10.3
B15|cls1m|b5|opp|H120|OVL,28,32.1,0.431,-7320,-261.4,-0.9,-8280,64.1,51.6,1,4,"{2021: (695, 3), 2022: (-2225, 4), 2023: (-4220, 16), 2024: (-1570, 5)}",-7680,0.416,60.7,3.6
B15|cls1m|b5|mid|H120|OVL,28,35.7,0.609,-4480,-160.0,-0.59,-6878,51.5,43.3,1,4,"{2021: (430, 3), 2022: (-1322, 4), 2023: (-3312, 16), 2024: (-275, 5)}",-4800,0.59,57.1,28.6
B15|cls1m|b5|r1|H120|OVL,28,39.3,0.529,-5550,-198.2,-0.73,-8520,51.7,43.3,1,4,"{2021: (785, 3), 2022: (-380, 4), 2023: (-4940, 16), 2024: (-1015, 5)}",-5865,0.512,53.6,28.6
B15|cls1m|b5|r2|H120|OVL,28,32.1,0.432,-7315,-261.2,-0.91,-8275,62.2,51.6,1,4,"{2021: (695, 3), 2022: (-2225, 4), 2023: (-4215, 16), 2024: (-1570, 5)}",-7665,0.417,60.7,10.7
B15|cls1m|bv|opp|H120|OVL,28,39.3,0.522,-6545,-233.7,-0.71,-7505,77.5,84.1,1,4,"{2021: (695, 3), 2022: (-2819, 4), 2023: (-2131, 16), 2024: (-2290, 5)}",-6890,0.506,50.0,3.6
B15|cls1m|bv|mid|H120|OVL,28,42.9,0.678,-3910,-139.6,-0.46,-6307,61.8,60.6,1,4,"{2021: (430, 3), 2022: (-1917, 4), 2023: (-1428, 16), 2024: (-995, 5)}",-4210,0.66,46.4,32.1
B15|cls1m|bv|r1|H120|OVL,28,39.3,0.528,-6457,-230.6,-0.73,-9501,67.3,62.8,1,4,"{2021: (879, 3), 2022: (-1695, 4), 2023: (-4127, 16), 2024: (-1514, 5)}",-6772,0.514,50.0,25.0
B15|cls1m|bv|r2|H120|OVL,28,39.3,0.544,-6249,-223.2,-0.67,-7209,77.4,84.1,1,4,"{2021: (695, 3), 2022: (-2819, 4), 2023: (-1836, 16), 2024: (-2290, 5)}",-6589,0.527,50.0,7.1
