et_hhmm,mean,count,std,t,med_abs,vshare,mean_pts
0,-0.0001186660832337993,1319,0.008901055532730191,-0.48418072368857507,0.0043076923076923075,0.0001220188272934615,-0.013457164518574679
1,9.604164809823124e-06,1319,0.009200280424869124,0.03791237024624192,0.003917179630665921,0.0001078710808421593,0.00796057619408643
2,-0.0003034621959780021,1318,0.008355724104079167,-1.3184941575126907,0.0036864203181031087,9.611483115620504e-05,-0.08554628224582701
3,-0.00024562311524855526,1319,0.008472541261126587,-1.0528777317252043,0.003368826324971425,9.299517004420376e-05,-0.11163760424564063
4,0.00018694628668035365,1319,0.007874714397048621,0.862192874484213,0.0035557060616322393,9.292262717605098e-05,0.0809325246398787
5,2.867155863538604e-05,1318,0.007964891847516626,0.13068601783398845,0.0037868145291402987,9.701679473715572e-05,-0.023899848254931716
6,0.00014680109181266365,1319,0.009170300513439393,0.5813907469204014,0.00392482451505774,0.00010238063910148422,0.05553449583017438
7,3.3176628851242145e-05,1319,0.007767111937053128,0.15512974835460178,0.003739572346341931,9.417373838398104e-05,0.01838514025777104
8,0.00010349141369764647,1319,0.007640608385488318,0.49192486654834056,0.003575076608784474,9.019246509604839e-05,0.05041698256254738
9,-0.00021310286552074737,1319,0.007440407573120072,-1.040195477419875,0.003469442220443021,8.774523632382475e-05,-0.06330553449583018
10,-0.00011700784913093172,1319,0.01104915375966441,-0.3845992000887307,0.003565970453387672,0.00010059836488038926,-0.01592115238817286
11,0.00011191854739091783,1319,0.0077936705508106765,0.5215337508843612,0.0036415132510621085,8.996497138862907e-05,0.06974981046247157
12,0.00012360464135963663,1319,0.006849681412128964,0.6553703725599959,0.003288364249578415,8.388827291000917e-05,0.039234268385140256
13,-0.0002576949909669106,1317,0.00835326778269809,-1.1195473349355503,0.0032480714575720666,8.792845140763782e-05,-0.08618071374335612
14,-0.00010201631500741251,1316,0.007133517843996372,-0.5187926621659091,0.0032918459201183078,8.276532853282146e-05,-0.018617021276595744
15,4.363248081302502e-05,1319,0.007783434498413585,0.20359215023960087,0.003835266185736462,9.560351541997841e-05,0.022175890826383625
16,-9.256440842152101e-05,1319,0.007800424152151141,-0.4309711606109141,0.0034693540393193464,8.683898708329144e-05,-0.036959818043972706
17,2.9899428489567104e-05,1317,0.00729511358363108,0.1487386092621665,0.003253040043373867,8.498741438046059e-05,-0.039104024297646166
18,7.04498235732538e-05,1319,0.009006426281112562,0.2840859850634193,0.0035593974448611203,8.522292692530915e-05,0.054018195602729344
19,-0.00010523415981713328,1319,0.007001162461926809,-0.5458948287137185,0.003110419906687403,8.308787266289621e-05,-0.003980288097043215
20,0.0001430812019628127,1318,0.00792749781788065,0.6552456610452343,0.003635117517674191,9.05711217682091e-05,0.061456752655538696
21,-0.00046919366793234156,1318,0.008280552354208886,-2.0570769609957025,0.0035655793197324846,9.093707449058846e-05,-0.16217754172989376
22,5.542435888817318e-05,1319,0.0077456160734796446,0.2598765600456081,0.003588087549336204,8.451456323606949e-05,0.0037907505686125853
23,-0.0002798618166892082,1318,0.006763566122861008,-1.5021925849809235,0.0033751771069096817,8.12529812917219e-05,-0.11286039453717754
24,0.00019611239090738445,1317,0.0070985319831646295,1.0026038742455445,0.0032272078445975297,7.946913933838865e-05,0.057517084282460135
25,4.4895915464849804e-05,1318,0.008168282671952012,0.19954175068148075,0.003429206496237668,8.865168659656311e-05,0.022192716236722306
26,-0.0003414195144911389,1318,0.007909576070074444,-1.5670860274183465,0.003320522881693677,8.210752734420939e-05,-0.14852048558421851
27,-8.583109052893865e-05,1319,0.007749768765290938,-0.4022335425341756,0.0033367556468172485,8.210095683711187e-05,-0.009287338893100834
28,0.00016210982337622678,1318,0.007520263775618644,0.7825894048304998,0.00317342128051429,8.063103268969945e-05,0.022003034901365705
29,-0.00023992254103701063,1317,0.007084481242057744,-1.2290113260248632,0.0032961460446247464,8.678360841216517e-05,-0.09832953682611997
30,0.0008271015713413033,1319,0.009583627614215154,3.134377589153335,0.004575853572685674,0.00012981842532619126,0.22175890826383624
31,0.00019813749041667296,1319,0.008912745174300511,0.8073792172237193,0.004183850337696491,0.00010956994610970021,0.06766489764973464
32,-0.0003502720246113625,1319,0.00827723584259079,-1.536889065463531,0.003908898727613578,0.00010186845331931584,-0.11163760424564063
33,-0.00010627806667948453,1318,0.00819237078544559,-0.47096838012379966,0.003706643482936491,9.275414686444507e-05,-0.045144157814871015
34,0.00026110029014075756,1319,0.007524358246628833,1.2602603922746958,0.0036171037333677823,8.951737252121796e-05,0.11959818043972707
35,0.00016491410683251384,1319,0.009678952225870981,0.6188022134930903,0.003946070371588293,0.0001001451734353185,0.03222137983320698
36,0.0004521789861587755,1319,0.00800028171195005,2.0527095062992657,0.003755700617007959,9.01982049391405e-05,0.13817285822592873
37,-0.00022867694315802542,1319,0.007820073966689833,-1.0620229823115965,0.003565970453387672,8.948961279802405e-05,-0.10462471569370735
38,0.0001469354735016497,1319,0.007687835676918431,0.6941366294438661,0.003515413737155219,8.806407070737866e-05,0.04094010614101592
39,-0.0002989754602887102,1318,0.007356468055677529,-1.4754479552190831,0.0033692543771922253,8.571839445582247e-05,-0.0832701062215478
40,0.00015177606524417452,1318,0.007716966053095066,0.7140266228926404,0.0038938105042183807,9.203105717820295e-05,0.04817905918057663
41,-0.0001579219273309203,1318,0.00720495631813249,-0.7957356008262455,0.0033597561091003453,8.622542770157906e-05,-0.07113050075872535
42,-7.780437528323353e-05,1318,0.007005920079884889,-0.40317774019333213,0.0034351948377386973,8.397904180601563e-05,-0.007207890743550834
43,0.00022414289059046236,1318,0.0070611851324114076,1.1524048447287534,0.003397079194978804,8.26746610823734e-05,0.09446130500758726
44,0.0002349159027081093,1319,0.006956216779860297,1.2264834932504856,0.0031138967623458025,7.760064626618826e-05,0.07031842304776345
