cfg,n,wr,pf,sharpe,dd,pnl
L S15 T0.10 H30,970,0.33505154639175255,0.851692654430927,-2.325182432326764,-34412.95808358322,-29437.821636696426
L S15 T0.10 H60,970,0.32577319587628867,0.8460925503138148,-2.4840014801896726,-36202.493797868956,-31478.69068431548
L S15 T0.20 H30,959,0.2638164754953076,0.8747913938395389,-1.8443558597266339,-30755.434065934314,-27134.457875458174
L S15 T0.20 H60,951,0.21766561514195584,0.8411666152895523,-2.3156906644200297,-39599.09482184521,-36989.118631369056
L S25 T0.10 H30,959,0.45881126173096975,0.9165579129327139,-1.302018180005253,-25821.26714951759,-20301.209457209516
L S25 T0.10 H60,955,0.46282722513089003,0.9270335747496765,-1.137154627364714,-27153.424658675212,-18704.067515817405
L S25 T0.20 H30,939,0.38338658146964855,0.9845532226835514,-0.20193959653674803,-25484.933150183206,-4108.410256410498
L S25 T0.20 H60,912,0.3541666666666667,0.9927973766634481,-0.09676567020257655,-28846.405261405307,-2098.073759574254
C S15 T0.10 H30,911,0.5422612513721186,0.6999508488110502,-4.258781360445331,-65089.53933566383,-60987.46515983916
C S15 T0.10 H60,911,0.5499451152579583,0.7005780004092518,-4.347588998794848,-66454.08603896064,-62796.95233932642
C S15 T0.20 H30,884,0.4423076923076923,0.8972769154461763,-1.3360263396426661,-41737.72610722568,-26583.581418580798
C S15 T0.20 H60,870,0.41954022988505746,0.86017995884681,-1.8905409839211176,-45703.490426239805,-40300.85855810794
C S25 T0.10 H30,905,0.5955801104972376,0.7323008721171798,-3.4619063583389553,-62200.06360306332,-56584.43448218346
C S25 T0.10 H60,899,0.6162402669632926,0.7447679848839523,-3.300008283739585,-65524.03338328302,-55965.29803529691
C S25 T0.20 H30,869,0.5051783659378596,0.9662778426206045,-0.4063118672482238,-42779.451381951,-8945.165667665133
C S25 T0.20 H60,834,0.5059952038369304,0.9580427192605727,-0.5378617516380837,-39289.12229437163,-12396.604895104392
